log_file,run_id,task_name,run_index,phase,scenario_name,scenario_type,delay_ms,requested_delay_ms,jitter_ms,loss_pct,bandwidth_kbit,main_effect_axis,match_id,side,success,rounds,reviewer_rejections,elapsed_seconds,total_tokens,quality_score,ground_truth_score,ground_truth_passed,retry_count,timeout_count,total_error_count,eval_mode,final_answer_length,n_messages
coding_task__r01_m01__sideA__three_day_tournament__factorial_baseline__run1__b408d9cc.json,b408d9cc,coding_task,1,three_day_tournament,factorial_baseline,factorial,0,0,0,0,,,r01_m01,A,True,3,0,93.01,267,5,5,True,0,0,0,heuristic,866,3
coding_task__r01_m01__sideB__three_day_tournament__factorial_delay_loss_jitter__run1__a42c38fd.json,a42c38fd,coding_task,1,three_day_tournament,factorial_delay_loss_jitter,factorial,300,300,30,5,,,r01_m01,B,True,3,0,162.61,290,5,5,True,0,0,0,heuristic,935,3
coding_task__r01_m02__sideA__three_day_tournament__factorial_jitter__run1__cd886217.json,cd886217,coding_task,1,three_day_tournament,factorial_jitter,factorial,50,0,30,0,,,r01_m02,A,True,3,0,147.03,330,5,5,True,0,0,0,heuristic,1094,3
coding_task__r01_m02__sideB__three_day_tournament__factorial_delay_loss__run1__2836b5a1.json,2836b5a1,coding_task,1,three_day_tournament,factorial_delay_loss,factorial,300,300,0,5,,,r01_m02,B,True,3,0,222.07,261,5,5,True,0,0,0,heuristic,824,3
coding_task__r01_m03__sideA__three_day_tournament__factorial_loss__run1__67b2074c.json,67b2074c,coding_task,1,three_day_tournament,factorial_loss,factorial,0,0,0,5,,,r01_m03,A,True,3,0,138.67,273,5,5,True,0,0,0,heuristic,895,3
coding_task__r01_m03__sideB__three_day_tournament__factorial_delay_jitter__run1__7992d282.json,7992d282,coding_task,1,three_day_tournament,factorial_delay_jitter,factorial,300,300,30,0,,,r01_m03,B,True,3,0,120.2,319,5,5,True,0,0,0,heuristic,1069,3
coding_task__r01_m04__sideA__three_day_tournament__factorial_loss_jitter__run1__0a94c5ea.json,0a94c5ea,coding_task,1,three_day_tournament,factorial_loss_jitter,factorial,50,0,30,5,,,r01_m04,A,True,3,0,232.49,263,5,5,True,0,0,0,heuristic,854,3
coding_task__r01_m04__sideB__three_day_tournament__factorial_delay__run1__75625ac0.json,75625ac0,coding_task,1,three_day_tournament,factorial_delay,factorial,300,300,0,0,,,r01_m04,B,True,3,0,121.85,241,5,5,True,0,0,0,heuristic,761,3
coding_task__r02_m01__sideA__three_day_tournament__factorial_baseline__run1__049a2f9b.json,049a2f9b,coding_task,1,three_day_tournament,factorial_baseline,factorial,0,0,0,0,,,r02_m01,A,True,3,0,94.04,291,5,5,True,0,0,0,heuristic,943,3
coding_task__r02_m01__sideB__three_day_tournament__factorial_delay_loss__run1__0cc7bcb7.json,0cc7bcb7,coding_task,1,three_day_tournament,factorial_delay_loss,factorial,300,300,0,5,,,r02_m01,B,True,3,0,103.27,288,5,5,True,0,0,0,heuristic,949,3
coding_task__r02_m02__sideA__three_day_tournament__factorial_delay_loss_jitter__run1__481f21f3.json,481f21f3,coding_task,1,three_day_tournament,factorial_delay_loss_jitter,factorial,300,300,30,5,,,r02_m02,A,True,3,0,283.54,286,5,5,True,0,0,0,heuristic,897,3
coding_task__r02_m02__sideB__three_day_tournament__factorial_delay_jitter__run1__06ddb2e9.json,06ddb2e9,coding_task,1,three_day_tournament,factorial_delay_jitter,factorial,300,300,30,0,,,r02_m02,B,True,3,0,296.16,204,5,5,True,0,0,0,heuristic,625,3
coding_task__r02_m03__sideA__three_day_tournament__factorial_jitter__run1__2c7f52f3.json,2c7f52f3,coding_task,1,three_day_tournament,factorial_jitter,factorial,50,0,30,0,,,r02_m03,A,True,3,0,143.82,293,5,5,True,0,0,0,heuristic,969,3
coding_task__r02_m03__sideB__three_day_tournament__factorial_delay__run1__99730ca3.json,99730ca3,coding_task,1,three_day_tournament,factorial_delay,factorial,300,300,0,0,,,r02_m03,B,True,3,0,168.84,348,5,5,True,0,0,0,heuristic,1191,3
coding_task__r02_m04__sideA__three_day_tournament__factorial_loss__run1__1e729491.json,1e729491,coding_task,1,three_day_tournament,factorial_loss,factorial,0,0,0,5,,,r02_m04,A,True,3,0,117.93,309,5,5,True,0,0,0,heuristic,1008,3
coding_task__r02_m04__sideB__three_day_tournament__factorial_loss_jitter__run1__49b4732f.json,49b4732f,coding_task,1,three_day_tournament,factorial_loss_jitter,factorial,50,0,30,5,,,r02_m04,B,True,3,0,111.74,252,5,5,True,0,0,0,heuristic,778,3
coding_task__r03_m01__sideA__three_day_tournament__factorial_baseline__run1__fc4363c4.json,fc4363c4,coding_task,1,three_day_tournament,factorial_baseline,factorial,0,0,0,0,,,r03_m01,A,True,3,0,369.0,267,5,4,True,0,0,0,heuristic,867,3
coding_task__r03_m01__sideB__three_day_tournament__factorial_delay_jitter__run1__96bae75d.json,96bae75d,coding_task,1,three_day_tournament,factorial_delay_jitter,factorial,300,300,30,0,,,r03_m01,B,True,3,0,140.17,301,5,5,True,0,0,0,heuristic,968,3
coding_task__r03_m02__sideA__three_day_tournament__factorial_delay_loss__run1__5decaa18.json,5decaa18,coding_task,1,three_day_tournament,factorial_delay_loss,factorial,300,300,0,5,,,r03_m02,A,True,3,0,153.47,278,5,5,True,0,0,0,heuristic,911,3
coding_task__r03_m02__sideB__three_day_tournament__factorial_delay__run1__a6c47d87.json,a6c47d87,coding_task,1,three_day_tournament,factorial_delay,factorial,300,300,0,0,,,r03_m02,B,True,3,0,308.45,269,5,5,True,0,0,0,heuristic,861,3
coding_task__r03_m03__sideA__three_day_tournament__factorial_delay_loss_jitter__run1__cf1790d1.json,cf1790d1,coding_task,1,three_day_tournament,factorial_delay_loss_jitter,factorial,300,300,30,5,,,r03_m03,A,True,3,0,122.37,307,5,5,True,0,0,0,heuristic,1016,3
coding_task__r03_m03__sideB__three_day_tournament__factorial_loss_jitter__run1__095eb07f.json,095eb07f,coding_task,1,three_day_tournament,factorial_loss_jitter,factorial,50,0,30,5,,,r03_m03,B,True,3,0,108.42,280,5,5,True,0,0,0,heuristic,901,3
