log_file,run_id,task_name,run_index,phase,scenario_name,scenario_type,delay_ms,requested_delay_ms,jitter_ms,loss_pct,bandwidth_kbit,main_effect_axis,match_id,side,success,rounds,reviewer_rejections,elapsed_seconds,total_tokens,quality_score,ground_truth_score,ground_truth_passed,retry_count,timeout_count,total_error_count,eval_mode,final_answer_length,n_messages
coding_task__tier1_delay_extended__main_delay_d1200__run1__22962528.json,22962528,coding_task,1,tier1_delay_extended,main_delay_d1200,main_effect,1200,1200,0,0,,delay,,,True,3,0,124.32,320,5,5,True,0,0,0,heuristic,1081,3
coding_task__tier1_delay_extended__main_delay_d1200__run2__81983d03.json,81983d03,coding_task,2,tier1_delay_extended,main_delay_d1200,main_effect,1200,1200,0,0,,delay,,,True,3,0,140.66,299,5,5,True,0,0,0,heuristic,995,3
coding_task__tier1_delay_extended__main_delay_d1200__run3__ab52f98e.json,ab52f98e,coding_task,3,tier1_delay_extended,main_delay_d1200,main_effect,1200,1200,0,0,,delay,,,True,3,0,154.03,308,5,5,True,0,0,0,heuristic,1031,3
coding_task__tier1_delay_extended__main_delay_d1200__run4__117de9ac.json,117de9ac,coding_task,4,tier1_delay_extended,main_delay_d1200,main_effect,1200,1200,0,0,,delay,,,True,3,0,113.47,268,5,5,True,0,0,0,heuristic,870,3
coding_task__tier1_delay_extended__main_delay_d1200__run5__96d22df2.json,96d22df2,coding_task,5,tier1_delay_extended,main_delay_d1200,main_effect,1200,1200,0,0,,delay,,,True,3,0,153.55,225,5,5,True,0,0,0,heuristic,692,3
coding_task__tier1_delay_extended__main_delay_d1500__run1__ae6b5e4b.json,ae6b5e4b,coding_task,1,tier1_delay_extended,main_delay_d1500,main_effect,1500,1500,0,0,,delay,,,True,3,0,127.23,345,5,5,True,0,0,0,heuristic,1186,3
coding_task__tier1_delay_extended__main_delay_d1500__run2__09e8033b.json,09e8033b,coding_task,2,tier1_delay_extended,main_delay_d1500,main_effect,1500,1500,0,0,,delay,,,True,3,0,97.4,295,5,5,True,0,0,0,heuristic,981,3
coding_task__tier1_delay_extended__main_delay_d1500__run3__9e5d5444.json,9e5d5444,coding_task,3,tier1_delay_extended,main_delay_d1500,main_effect,1500,1500,0,0,,delay,,,True,3,0,311.99,269,5,5,True,0,0,0,heuristic,827,3
coding_task__tier1_delay_extended__main_delay_d1500__run4__18f7aa36.json,18f7aa36,coding_task,4,tier1_delay_extended,main_delay_d1500,main_effect,1500,1500,0,0,,delay,,,True,3,0,520.26,325,5,5,True,0,1,2,heuristic,920,4
coding_task__tier1_delay_extended__main_delay_d1500__run5__76535fac.json,76535fac,coding_task,5,tier1_delay_extended,main_delay_d1500,main_effect,1500,1500,0,0,,delay,,,True,3,0,426.46,313,5,5,True,0,0,0,heuristic,1048,3
