log_file,run_id,task_name,run_index,phase,scenario_name,scenario_type,delay_ms,requested_delay_ms,jitter_ms,loss_pct,bandwidth_kbit,main_effect_axis,match_id,side,success,rounds,reviewer_rejections,elapsed_seconds,total_tokens,quality_score,ground_truth_score,ground_truth_passed,retry_count,timeout_count,total_error_count,eval_mode,final_answer_length,n_messages
coding_task__tier2_bandwidth_main_effect__main_bandwidth_bw00050__run1__91ac773d.json,91ac773d,coding_task,1,tier2_bandwidth_main_effect,main_bandwidth_bw00050,main_effect,0,0,0,0,50,bandwidth,,,True,3,0,132.23,259,5,5,True,0,0,0,heuristic,810,3
coding_task__tier2_bandwidth_main_effect__main_bandwidth_bw00050__run2__2f3a26d5.json,2f3a26d5,coding_task,2,tier2_bandwidth_main_effect,main_bandwidth_bw00050,main_effect,0,0,0,0,50,bandwidth,,,True,3,0,158.7,302,5,5,True,0,0,0,heuristic,993,3
coding_task__tier2_bandwidth_main_effect__main_bandwidth_bw00050__run3__d757eaaf.json,d757eaaf,coding_task,3,tier2_bandwidth_main_effect,main_bandwidth_bw00050,main_effect,0,0,0,0,50,bandwidth,,,True,3,0,256.67,277,5,5,True,0,0,0,heuristic,906,3
coding_task__tier2_bandwidth_main_effect__main_bandwidth_bw00050__run4__6e4a55b9.json,6e4a55b9,coding_task,4,tier2_bandwidth_main_effect,main_bandwidth_bw00050,main_effect,0,0,0,0,50,bandwidth,,,True,3,0,108.23,255,5,4,True,0,0,0,heuristic,819,3
coding_task__tier2_bandwidth_main_effect__main_bandwidth_bw00050__run5__27c3b8e7.json,27c3b8e7,coding_task,5,tier2_bandwidth_main_effect,main_bandwidth_bw00050,main_effect,0,0,0,0,50,bandwidth,,,True,3,0,149.08,352,5,5,True,0,0,0,heuristic,1181,3
coding_task__tier2_bandwidth_main_effect__main_bandwidth_bw00100__run1__6e49a899.json,6e49a899,coding_task,1,tier2_bandwidth_main_effect,main_bandwidth_bw00100,main_effect,0,0,0,0,100,bandwidth,,,True,3,0,150.23,312,5,5,True,0,0,0,heuristic,1050,3
coding_task__tier2_bandwidth_main_effect__main_bandwidth_bw00100__run2__a7419456.json,a7419456,coding_task,2,tier2_bandwidth_main_effect,main_bandwidth_bw00100,main_effect,0,0,0,0,100,bandwidth,,,True,3,0,127.64,319,5,5,True,0,0,0,heuristic,1091,3
coding_task__tier2_bandwidth_main_effect__main_bandwidth_bw00100__run3__4a52d1cc.json,4a52d1cc,coding_task,3,tier2_bandwidth_main_effect,main_bandwidth_bw00100,main_effect,0,0,0,0,100,bandwidth,,,True,3,0,366.73,339,5,5,True,0,0,0,heuristic,1133,3
coding_task__tier2_bandwidth_main_effect__main_bandwidth_bw00100__run4__d1140e35.json,d1140e35,coding_task,4,tier2_bandwidth_main_effect,main_bandwidth_bw00100,main_effect,0,0,0,0,100,bandwidth,,,True,3,0,137.91,266,5,5,True,0,0,0,heuristic,848,3
coding_task__tier2_bandwidth_main_effect__main_bandwidth_bw00100__run5__26e0bb66.json,26e0bb66,coding_task,5,tier2_bandwidth_main_effect,main_bandwidth_bw00100,main_effect,0,0,0,0,100,bandwidth,,,True,3,0,168.64,340,5,5,True,0,0,0,heuristic,1160,3
