log_file,run_id,task_name,run_index,phase,scenario_name,scenario_type,delay_ms,requested_delay_ms,jitter_ms,loss_pct,bandwidth_kbit,main_effect_axis,match_id,side,success,rounds,reviewer_rejections,elapsed_seconds,total_tokens,quality_score,ground_truth_score,ground_truth_passed,retry_count,timeout_count,total_error_count,eval_mode,final_answer_length,n_messages
coding_task_hard__tier2_multiround__t2mr_baseline__run10__fc9a7ddc.json,fc9a7ddc,coding_task_hard,10,tier2_multiround,t2mr_baseline,,0,0,0,0,,,,,True,3,0,322.33,892,5,5,True,0,0,0,heuristic,2776,3
coding_task_hard__tier2_multiround__t2mr_baseline__run1__c33c7d4b.json,c33c7d4b,coding_task_hard,1,tier2_multiround,t2mr_baseline,,0,0,0,0,,,,,True,3,0,458.84,923,5,5,True,0,0,0,heuristic,2971,3
coding_task_hard__tier2_multiround__t2mr_baseline__run2__331faeb6.json,331faeb6,coding_task_hard,2,tier2_multiround,t2mr_baseline,,0,0,0,0,,,,,True,6,1,699.31,2619,5,5,True,0,0,1,heuristic,3351,6
coding_task_hard__tier2_multiround__t2mr_baseline__run3__6eebe2e4.json,6eebe2e4,coding_task_hard,3,tier2_multiround,t2mr_baseline,,0,0,0,0,,,,,True,6,0,1325.18,2559,,5,True,0,0,0,heuristic,1909,6
coding_task_hard__tier2_multiround__t2mr_baseline__run4__637b0cd9.json,637b0cd9,coding_task_hard,4,tier2_multiround,t2mr_baseline,,0,0,0,0,,,,,True,3,0,521.65,937,5,5,True,0,0,0,heuristic,2959,3
coding_task_hard__tier2_multiround__t2mr_baseline__run5__a539b415.json,a539b415,coding_task_hard,5,tier2_multiround,t2mr_baseline,,0,0,0,0,,,,,True,6,1,772.81,2297,5,5,True,0,0,1,heuristic,3109,6
coding_task_hard__tier2_multiround__t2mr_baseline__run6__98bb07a6.json,98bb07a6,coding_task_hard,6,tier2_multiround,t2mr_baseline,,0,0,0,0,,,,,True,6,1,854.37,2221,5,5,True,0,0,1,heuristic,2696,6
coding_task_hard__tier2_multiround__t2mr_baseline__run7__8f5b8e0a.json,8f5b8e0a,coding_task_hard,7,tier2_multiround,t2mr_baseline,,0,0,0,0,,,,,True,3,0,1882.58,769,5,5,True,0,0,0,heuristic,2355,3
coding_task_hard__tier2_multiround__t2mr_baseline__run8__d1a182d7.json,d1a182d7,coding_task_hard,8,tier2_multiround,t2mr_baseline,,0,0,0,0,,,,,True,6,1,1761.97,2212,5,5,True,0,0,1,heuristic,2643,6
coding_task_hard__tier2_multiround__t2mr_baseline__run9__8cd9f833.json,8cd9f833,coding_task_hard,9,tier2_multiround,t2mr_baseline,,0,0,0,0,,,,,True,6,1,680.68,2227,5,5,True,0,0,1,heuristic,2938,6
