log_file,run_id,task_name,run_index,phase,scenario_name,scenario_type,delay_ms,requested_delay_ms,jitter_ms,loss_pct,bandwidth_kbit,main_effect_axis,match_id,side,success,rounds,reviewer_rejections,elapsed_seconds,total_tokens,quality_score,ground_truth_score,ground_truth_passed,retry_count,timeout_count,total_error_count,eval_mode,final_answer_length,n_messages
coding_task__tier4_main_effect_replicate__llama3.1_8b__main_delay_d0000__run1__d3c8d965.json,d3c8d965,coding_task,1,tier4_main_effect_replicate__llama3.1_8b,main_delay_d0000,main_effect,0,0,0,0,,delay,,,True,3,0,32.99,336,5,4,True,0,0,0,heuristic,1189,3
coding_task__tier4_main_effect_replicate__llama3.1_8b__main_delay_d0000__run2__44f50e96.json,44f50e96,coding_task,2,tier4_main_effect_replicate__llama3.1_8b,main_delay_d0000,main_effect,0,0,0,0,,delay,,,True,3,0,30.01,330,5,4,True,0,0,0,heuristic,1164,3
coding_task__tier4_main_effect_replicate__llama3.1_8b__main_delay_d0000__run3__6734d4b7.json,6734d4b7,coding_task,3,tier4_main_effect_replicate__llama3.1_8b,main_delay_d0000,main_effect,0,0,0,0,,delay,,,True,3,0,21.88,248,5,4,True,0,0,0,heuristic,837,3
coding_task__tier4_main_effect_replicate__llama3.1_8b__main_delay_d0000__run4__13b7905c.json,13b7905c,coding_task,4,tier4_main_effect_replicate__llama3.1_8b,main_delay_d0000,main_effect,0,0,0,0,,delay,,,True,3,0,26.18,294,5,5,True,0,0,0,heuristic,1022,3
coding_task__tier4_main_effect_replicate__llama3.1_8b__main_delay_d0000__run5__032abf86.json,032abf86,coding_task,5,tier4_main_effect_replicate__llama3.1_8b,main_delay_d0000,main_effect,0,0,0,0,,delay,,,True,3,0,26.87,276,5,4,True,0,0,0,heuristic,950,3
coding_task__tier4_main_effect_replicate__llama3.1_8b__main_delay_d0050__run1__4a8f8d92.json,4a8f8d92,coding_task,1,tier4_main_effect_replicate__llama3.1_8b,main_delay_d0050,main_effect,50,50,0,0,,delay,,,True,3,0,17.06,217,5,4,True,0,0,0,heuristic,714,3
coding_task__tier4_main_effect_replicate__llama3.1_8b__main_delay_d0050__run2__1b353fb9.json,1b353fb9,coding_task,2,tier4_main_effect_replicate__llama3.1_8b,main_delay_d0050,main_effect,50,50,0,0,,delay,,,True,3,0,23.84,257,5,4,True,0,0,0,heuristic,872,3
coding_task__tier4_main_effect_replicate__llama3.1_8b__main_delay_d0050__run3__21cd10d0.json,21cd10d0,coding_task,3,tier4_main_effect_replicate__llama3.1_8b,main_delay_d0050,main_effect,50,50,0,0,,delay,,,True,3,0,24.02,251,5,4,True,0,0,0,heuristic,850,3
coding_task__tier4_main_effect_replicate__llama3.1_8b__main_delay_d0050__run4__f53fd641.json,f53fd641,coding_task,4,tier4_main_effect_replicate__llama3.1_8b,main_delay_d0050,main_effect,50,50,0,0,,delay,,,True,3,0,31.35,325,5,4,True,0,0,0,heuristic,1145,3
coding_task__tier4_main_effect_replicate__llama3.1_8b__main_delay_d0050__run5__783bf4f2.json,783bf4f2,coding_task,5,tier4_main_effect_replicate__llama3.1_8b,main_delay_d0050,main_effect,50,50,0,0,,delay,,,True,3,0,24.64,263,5,4,True,0,0,0,heuristic,898,3
coding_task__tier4_main_effect_replicate__llama3.1_8b__main_delay_d0100__run1__673901c7.json,673901c7,coding_task,1,tier4_main_effect_replicate__llama3.1_8b,main_delay_d0100,main_effect,100,100,0,0,,delay,,,True,3,0,150.93,269,5,3,False,0,0,0,heuristic,920,3
coding_task__tier4_main_effect_replicate__llama3.1_8b__main_delay_d0100__run2__f3c3001c.json,f3c3001c,coding_task,2,tier4_main_effect_replicate__llama3.1_8b,main_delay_d0100,main_effect,100,100,0,0,,delay,,,True,3,0,27.15,294,5,4,True,0,0,0,heuristic,1022,3
coding_task__tier4_main_effect_replicate__llama3.1_8b__main_delay_d0100__run3__120c61cd.json,120c61cd,coding_task,3,tier4_main_effect_replicate__llama3.1_8b,main_delay_d0100,main_effect,100,100,0,0,,delay,,,True,3,0,22.78,245,5,4,True,0,0,0,heuristic,826,3
coding_task__tier4_main_effect_replicate__llama3.1_8b__main_delay_d0100__run4__3cc36065.json,3cc36065,coding_task,4,tier4_main_effect_replicate__llama3.1_8b,main_delay_d0100,main_effect,100,100,0,0,,delay,,,True,3,0,32.09,321,5,4,True,0,0,0,heuristic,1129,3
coding_task__tier4_main_effect_replicate__llama3.1_8b__main_delay_d0100__run5__4a19c065.json,4a19c065,coding_task,5,tier4_main_effect_replicate__llama3.1_8b,main_delay_d0100,main_effect,100,100,0,0,,delay,,,True,3,0,22.3,244,5,4,True,0,0,0,heuristic,821,3
coding_task__tier4_main_effect_replicate__llama3.1_8b__main_delay_d0150__run1__ee583d32.json,ee583d32,coding_task,1,tier4_main_effect_replicate__llama3.1_8b,main_delay_d0150,main_effect,150,150,0,0,,delay,,,True,3,0,36.0,286,5,4,True,0,0,0,heuristic,990,3
coding_task__tier4_main_effect_replicate__llama3.1_8b__main_delay_d0150__run2__69662c42.json,69662c42,coding_task,2,tier4_main_effect_replicate__llama3.1_8b,main_delay_d0150,main_effect,150,150,0,0,,delay,,,True,3,0,26.61,291,5,5,True,0,0,0,heuristic,1009,3
