log_file,run_id,task_name,run_index,phase,scenario_name,scenario_type,delay_ms,requested_delay_ms,jitter_ms,loss_pct,bandwidth_kbit,main_effect_axis,match_id,side,success,rounds,reviewer_rejections,elapsed_seconds,total_tokens,quality_score,ground_truth_score,ground_truth_passed,retry_count,timeout_count,total_error_count,eval_mode,final_answer_length,n_messages
coding_task__r01_m01__sideA__three_day_tournament__factorial_baseline__run1__399566fa.json,399566fa,coding_task,1,three_day_tournament,factorial_baseline,factorial,0,0,0,0,,,r01_m01,A,True,3,0,371.82,252,5,5,True,0,0,0,heuristic,807,3
coding_task__r01_m01__sideB__three_day_tournament__factorial_delay_loss_jitter__run1__096fb16f.json,096fb16f,coding_task,1,three_day_tournament,factorial_delay_loss_jitter,factorial,300,300,30,5,,,r01_m01,B,True,3,0,179.73,264,5,5,True,0,0,0,heuristic,842,3
coding_task__r01_m02__sideA__three_day_tournament__factorial_jitter__run1__0dac4f94.json,0dac4f94,coding_task,1,three_day_tournament,factorial_jitter,factorial,50,0,30,0,,,r01_m02,A,True,3,0,152.21,268,5,5,True,0,0,0,heuristic,875,3
coding_task__r01_m02__sideB__three_day_tournament__factorial_delay_loss__run1__83f9e9a0.json,83f9e9a0,coding_task,1,three_day_tournament,factorial_delay_loss,factorial,300,300,0,5,,,r01_m02,B,True,3,0,139.75,315,5,5,True,0,0,0,heuristic,1066,3
coding_task__r01_m03__sideA__three_day_tournament__factorial_loss__run1__d0c435cf.json,d0c435cf,coding_task,1,three_day_tournament,factorial_loss,factorial,0,0,0,5,,,r01_m03,A,True,3,0,129.7,307,5,5,True,0,0,0,heuristic,1022,3
coding_task__r01_m03__sideB__three_day_tournament__factorial_delay_jitter__run1__46b38717.json,46b38717,coding_task,1,three_day_tournament,factorial_delay_jitter,factorial,300,300,30,0,,,r01_m03,B,True,3,0,147.82,256,5,5,True,0,0,0,heuristic,824,3
coding_task__r01_m04__sideA__three_day_tournament__factorial_loss_jitter__run1__db6dd06b.json,db6dd06b,coding_task,1,three_day_tournament,factorial_loss_jitter,factorial,50,0,30,5,,,r01_m04,A,True,3,0,228.41,277,5,5,True,0,0,0,heuristic,910,3
coding_task__r01_m04__sideB__three_day_tournament__factorial_delay__run1__f3a2e49c.json,f3a2e49c,coding_task,1,three_day_tournament,factorial_delay,factorial,300,300,0,0,,,r01_m04,B,True,3,0,155.03,337,5,5,True,0,0,0,heuristic,1112,3
coding_task__r02_m01__sideA__three_day_tournament__factorial_baseline__run1__c4742933.json,c4742933,coding_task,1,three_day_tournament,factorial_baseline,factorial,0,0,0,0,,,r02_m01,A,True,3,0,234.98,259,5,5,True,0,0,0,heuristic,847,3
coding_task__r02_m01__sideB__three_day_tournament__factorial_delay_loss__run1__41ec511b.json,41ec511b,coding_task,1,three_day_tournament,factorial_delay_loss,factorial,300,300,0,5,,,r02_m01,B,True,3,0,140.84,313,5,5,True,0,0,0,heuristic,999,3
