log_file,run_id,task_name,run_index,phase,scenario_name,scenario_type,delay_ms,requested_delay_ms,jitter_ms,loss_pct,bandwidth_kbit,main_effect_axis,match_id,side,success,rounds,reviewer_rejections,elapsed_seconds,total_tokens,quality_score,ground_truth_score,ground_truth_passed,retry_count,timeout_count,total_error_count,eval_mode,final_answer_length,n_messages
coding_task_hard__tier6_mitigation_multiround__adaptive_timeout__t6_baseline__run10__caeac5d5.json,caeac5d5,coding_task_hard,10,tier6_mitigation_multiround__adaptive_timeout,t6_baseline,,0,0,0,0,,,,,True,3,0,310.94,900,5,5,True,0,0,0,heuristic,2778,3
coding_task_hard__tier6_mitigation_multiround__adaptive_timeout__t6_baseline__run1__1b29f887.json,1b29f887,coding_task_hard,1,tier6_mitigation_multiround__adaptive_timeout,t6_baseline,,0,0,0,0,,,,,True,3,0,445.7,867,5,5,True,0,0,0,heuristic,2622,3
coding_task_hard__tier6_mitigation_multiround__adaptive_timeout__t6_baseline__run2__fa61f568.json,fa61f568,coding_task_hard,2,tier6_mitigation_multiround__adaptive_timeout,t6_baseline,,0,0,0,0,,,,,False,6,1,761.99,3343,4,5,True,0,0,1,heuristic,3672,6
coding_task_hard__tier6_mitigation_multiround__adaptive_timeout__t6_baseline__run3__91a972bf.json,91a972bf,coding_task_hard,3,tier6_mitigation_multiround__adaptive_timeout,t6_baseline,,0,0,0,0,,,,,True,3,0,459.58,1154,5,5,True,0,0,0,heuristic,3819,3
coding_task_hard__tier6_mitigation_multiround__adaptive_timeout__t6_baseline__run4__8a0b5118.json,8a0b5118,coding_task_hard,4,tier6_mitigation_multiround__adaptive_timeout,t6_baseline,,0,0,0,0,,,,,True,6,1,1000.08,2124,5,5,True,0,0,1,heuristic,3559,6
coding_task_hard__tier6_mitigation_multiround__adaptive_timeout__t6_baseline__run5__0ae19b16.json,0ae19b16,coding_task_hard,5,tier6_mitigation_multiround__adaptive_timeout,t6_baseline,,0,0,0,0,,,,,True,6,1,1320.93,2165,5,5,True,0,0,1,heuristic,2794,6
coding_task_hard__tier6_mitigation_multiround__adaptive_timeout__t6_baseline__run6__86e7e364.json,86e7e364,coding_task_hard,6,tier6_mitigation_multiround__adaptive_timeout,t6_baseline,,0,0,0,0,,,,,True,3,0,398.84,878,5,5,True,0,0,0,heuristic,2791,3
coding_task_hard__tier6_mitigation_multiround__adaptive_timeout__t6_baseline__run7__e6d213e7.json,e6d213e7,coding_task_hard,7,tier6_mitigation_multiround__adaptive_timeout,t6_baseline,,0,0,0,0,,,,,True,6,1,700.5,2409,5,5,True,0,0,1,heuristic,3170,6
coding_task_hard__tier6_mitigation_multiround__adaptive_timeout__t6_baseline__run8__6248b3f3.json,6248b3f3,coding_task_hard,8,tier6_mitigation_multiround__adaptive_timeout,t6_baseline,,0,0,0,0,,,,,True,6,1,1194.02,2114,5,5,True,0,0,1,heuristic,1263,6
coding_task_hard__tier6_mitigation_multiround__adaptive_timeout__t6_baseline__run9__b675277e.json,b675277e,coding_task_hard,9,tier6_mitigation_multiround__adaptive_timeout,t6_baseline,,0,0,0,0,,,,,True,6,1,665.8,2593,5,5,True,0,0,1,heuristic,2957,6
coding_task_hard__tier6_mitigation_multiround__adaptive_timeout__t6_moderate_delay__run10__c0af2f9c.json,c0af2f9c,coding_task_hard,10,tier6_mitigation_multiround__adaptive_timeout,t6_moderate_delay,,300,300,0,0,,,,,True,6,1,915.82,3188,2,5,True,0,0,1,heuristic,3324,6
coding_task_hard__tier6_mitigation_multiround__adaptive_timeout__t6_moderate_delay__run1__e36f4ca4.json,e36f4ca4,coding_task_hard,1,tier6_mitigation_multiround__adaptive_timeout,t6_moderate_delay,,300,300,0,0,,,,,False,6,1,941.04,3612,4,5,True,0,0,1,heuristic,3868,6
coding_task_hard__tier6_mitigation_multiround__adaptive_timeout__t6_moderate_delay__run2__369463c1.json,369463c1,coding_task_hard,2,tier6_mitigation_multiround__adaptive_timeout,t6_moderate_delay,,300,300,0,0,,,,,True,6,1,837.48,2326,5,5,True,0,0,1,heuristic,2898,6
coding_task_hard__tier6_mitigation_multiround__adaptive_timeout__t6_moderate_delay__run3__ee7a480f.json,ee7a480f,coding_task_hard,3,tier6_mitigation_multiround__adaptive_timeout,t6_moderate_delay,,300,300,0,0,,,,,True,3,0,414.48,892,5,5,True,0,0,0,heuristic,2771,3
