log_file,run_id,task_name,run_index,phase,scenario_name,scenario_type,delay_ms,requested_delay_ms,jitter_ms,loss_pct,bandwidth_kbit,main_effect_axis,match_id,side,success,rounds,reviewer_rejections,elapsed_seconds,total_tokens,quality_score,ground_truth_score,ground_truth_passed,retry_count,timeout_count,total_error_count,eval_mode,final_answer_length,n_messages
coding_task_hard__tier6_mitigation_multiround__context_cache__t6_baseline__run10__4d1cee1d.json,4d1cee1d,coding_task_hard,10,tier6_mitigation_multiround__context_cache,t6_baseline,,0,0,0,0,,,,,False,6,2,1030.83,1593,2,2,False,0,0,2,heuristic,1578,6
coding_task_hard__tier6_mitigation_multiround__context_cache__t6_baseline__run1__a8e0a8ed.json,a8e0a8ed,coding_task_hard,1,tier6_mitigation_multiround__context_cache,t6_baseline,,0,0,0,0,,,,,True,6,1,742.81,1578,5,5,True,0,0,1,heuristic,2277,6
coding_task_hard__tier6_mitigation_multiround__context_cache__t6_baseline__run2__6c540d5b.json,6c540d5b,coding_task_hard,2,tier6_mitigation_multiround__context_cache,t6_baseline,,0,0,0,0,,,,,True,6,1,843.55,2716,5,5,True,0,0,1,heuristic,3887,6
coding_task_hard__tier6_mitigation_multiround__context_cache__t6_baseline__run3__f969b3b2.json,f969b3b2,coding_task_hard,3,tier6_mitigation_multiround__context_cache,t6_baseline,,0,0,0,0,,,,,True,3,0,866.78,727,5,5,True,0,0,0,heuristic,2184,3
coding_task_hard__tier6_mitigation_multiround__context_cache__t6_baseline__run4__5cbbf238.json,5cbbf238,coding_task_hard,4,tier6_mitigation_multiround__context_cache,t6_baseline,,0,0,0,0,,,,,True,6,1,771.01,2245,5,5,True,0,0,1,heuristic,2761,6
coding_task_hard__tier6_mitigation_multiround__context_cache__t6_baseline__run5__63eda0a2.json,63eda0a2,coding_task_hard,5,tier6_mitigation_multiround__context_cache,t6_baseline,,0,0,0,0,,,,,True,6,1,1017.38,1859,5,5,True,0,0,1,heuristic,2375,6
coding_task_hard__tier6_mitigation_multiround__context_cache__t6_baseline__run6__ce975122.json,ce975122,coding_task_hard,6,tier6_mitigation_multiround__context_cache,t6_baseline,,0,0,0,0,,,,,True,3,0,656.32,750,5,5,True,0,0,0,heuristic,2276,3
coding_task_hard__tier6_mitigation_multiround__context_cache__t6_baseline__run7__0ede5b91.json,0ede5b91,coding_task_hard,7,tier6_mitigation_multiround__context_cache,t6_baseline,,0,0,0,0,,,,,True,4,1,2270.32,1255,5,5,True,0,1,3,heuristic,2719,5
coding_task_hard__tier6_mitigation_multiround__context_cache__t6_baseline__run8__bf6658ae.json,bf6658ae,coding_task_hard,8,tier6_mitigation_multiround__context_cache,t6_baseline,,0,0,0,0,,,,,True,6,1,731.5,2436,5,5,True,0,0,1,heuristic,3446,6
coding_task_hard__tier6_mitigation_multiround__context_cache__t6_baseline__run9__1838ccc5.json,1838ccc5,coding_task_hard,9,tier6_mitigation_multiround__context_cache,t6_baseline,,0,0,0,0,,,,,True,3,0,444.66,1006,5,5,True,0,0,0,heuristic,3202,3
coding_task_hard__tier6_mitigation_multiround__context_cache__t6_moderate_delay__run10__12422d0b.json,12422d0b,coding_task_hard,10,tier6_mitigation_multiround__context_cache,t6_moderate_delay,,300,300,0,0,,,,,False,6,1,1220.15,3385,4,5,True,0,0,1,heuristic,3519,6
coding_task_hard__tier6_mitigation_multiround__context_cache__t6_moderate_delay__run1__a4342a53.json,a4342a53,coding_task_hard,1,tier6_mitigation_multiround__context_cache,t6_moderate_delay,,300,300,0,0,,,,,True,6,1,2131.64,2623,5,5,True,0,0,1,heuristic,3273,6
coding_task_hard__tier6_mitigation_multiround__context_cache__t6_moderate_delay__run2__56a74277.json,56a74277,coding_task_hard,2,tier6_mitigation_multiround__context_cache,t6_moderate_delay,,300,300,0,0,,,,,True,3,0,469.23,947,5,5,True,0,0,0,heuristic,2937,3
coding_task_hard__tier6_mitigation_multiround__context_cache__t6_moderate_delay__run3__2685b84b.json,2685b84b,coding_task_hard,3,tier6_mitigation_multiround__context_cache,t6_moderate_delay,,300,300,0,0,,,,,True,6,1,707.79,2753,5,5,True,0,0,1,heuristic,3746,6
coding_task_hard__tier6_mitigation_multiround__context_cache__t6_moderate_delay__run4__1a6e339e.json,1a6e339e,coding_task_hard,4,tier6_mitigation_multiround__context_cache,t6_moderate_delay,,300,300,0,0,,,,,False,6,1,1023.43,2671,5,5,True,0,0,1,heuristic,3028,6
coding_task_hard__tier6_mitigation_multiround__context_cache__t6_moderate_delay__run5__f7c43eb6.json,f7c43eb6,coding_task_hard,5,tier6_mitigation_multiround__context_cache,t6_moderate_delay,,300,300,0,0,,,,,True,6,1,997.76,2240,5,5,True,0,0,1,heuristic,2978,6
coding_task_hard__tier6_mitigation_multiround__context_cache__t6_moderate_delay__run6__fe108896.json,fe108896,coding_task_hard,6,tier6_mitigation_multiround__context_cache,t6_moderate_delay,,300,300,0,0,,,,,True,2,0,1885.99,580,5,5,True,0,1,2,heuristic,1492,3
coding_task_hard__tier6_mitigation_multiround__context_cache__t6_moderate_delay__run7__fea5cdba.json,fea5cdba,coding_task_hard,7,tier6_mitigation_multiround__context_cache,t6_moderate_delay,,300,300,0,0,,,,,True,3,0,1008.52,804,5,5,True,0,0,0,heuristic,2492,3
coding_task_hard__tier6_mitigation_multiround__context_cache__t6_moderate_delay__run8__2e32e9b0.json,2e32e9b0,coding_task_hard,8,tier6_mitigation_multiround__context_cache,t6_moderate_delay,,300,300,0,0,,,,,True,3,0,439.0,862,5,4,True,0,0,0,heuristic,2655,3
coding_task_hard__tier6_mitigation_multiround__context_cache__t6_moderate_delay__run9__805fe462.json,805fe462,coding_task_hard,9,tier6_mitigation_multiround__context_cache,t6_moderate_delay,,300,300,0,0,,,,,True,6,1,988.85,2212,5,5,True,0,0,1,heuristic,2845,6
planning_decision_hard__tier6_mitigation_multiround__context_cache__t6_baseline__run10__618ce999.json,618ce999,planning_decision_hard,10,tier6_mitigation_multiround__context_cache,t6_baseline,,0,0,0,0,,,,,True,6,1,700.27,2375,5,4,True,0,0,1,heuristic,2554,6
planning_decision_hard__tier6_mitigation_multiround__context_cache__t6_baseline__run1__dee8c914.json,dee8c914,planning_decision_hard,1,tier6_mitigation_multiround__context_cache,t6_baseline,,0,0,0,0,,,,,True,3,0,211.67,553,5,5,True,0,0,0,heuristic,1360,3
planning_decision_hard__tier6_mitigation_multiround__context_cache__t6_baseline__run2__e5b24da4.json,e5b24da4,planning_decision_hard,2,tier6_mitigation_multiround__context_cache,t6_baseline,,0,0,0,0,,,,,True,3,0,193.01,687,5,4,True,0,0,0,heuristic,1930,3
planning_decision_hard__tier6_mitigation_multiround__context_cache__t6_baseline__run3__1bb6dad9.json,1bb6dad9,planning_decision_hard,3,tier6_mitigation_multiround__context_cache,t6_baseline,,0,0,0,0,,,,,True,3,0,143.47,605,5,5,True,0,0,0,heuristic,1600,3
planning_decision_hard__tier6_mitigation_multiround__context_cache__t6_baseline__run4__fe23109d.json,fe23109d,planning_decision_hard,4,tier6_mitigation_multiround__context_cache,t6_baseline,,0,0,0,0,,,,,False,6,1,624.55,2047,3,5,True,0,0,1,heuristic,2465,6
planning_decision_hard__tier6_mitigation_multiround__context_cache__t6_baseline__run5__30796b74.json,30796b74,planning_decision_hard,5,tier6_mitigation_multiround__context_cache,t6_baseline,,0,0,0,0,,,,,True,3,0,157.98,766,5,5,True,0,0,0,heuristic,2255,3
planning_decision_hard__tier6_mitigation_multiround__context_cache__t6_baseline__run6__db4b53ad.json,db4b53ad,planning_decision_hard,6,tier6_mitigation_multiround__context_cache,t6_baseline,,0,0,0,0,,,,,True,3,0,362.42,741,5,5,True,0,0,0,heuristic,2057,3
planning_decision_hard__tier6_mitigation_multiround__context_cache__t6_baseline__run7__a3914725.json,a3914725,planning_decision_hard,7,tier6_mitigation_multiround__context_cache,t6_baseline,,0,0,0,0,,,,,True,3,0,33266.02,606,5,4,True,0,0,0,heuristic,1606,3
planning_decision_hard__tier6_mitigation_multiround__context_cache__t6_baseline__run8__8e716c50.json,8e716c50,planning_decision_hard,8,tier6_mitigation_multiround__context_cache,t6_baseline,,0,0,0,0,,,,,True,3,0,271.3,824,5,5,True,0,0,0,heuristic,2396,3
planning_decision_hard__tier6_mitigation_multiround__context_cache__t6_baseline__run9__69250abf.json,69250abf,planning_decision_hard,9,tier6_mitigation_multiround__context_cache,t6_baseline,,0,0,0,0,,,,,True,3,0,254.7,740,5,5,True,0,0,0,heuristic,2070,3
planning_decision_hard__tier6_mitigation_multiround__context_cache__t6_moderate_delay__run10__b92e7bf7.json,b92e7bf7,planning_decision_hard,10,tier6_mitigation_multiround__context_cache,t6_moderate_delay,,300,300,0,0,,,,,True,3,0,289.97,835,5,5,True,0,0,0,heuristic,2455,3
planning_decision_hard__tier6_mitigation_multiround__context_cache__t6_moderate_delay__run1__960cfd2a.json,960cfd2a,planning_decision_hard,1,tier6_mitigation_multiround__context_cache,t6_moderate_delay,,300,300,0,0,,,,,True,3,0,169.87,787,5,5,True,0,0,0,heuristic,2243,3
planning_decision_hard__tier6_mitigation_multiround__context_cache__t6_moderate_delay__run2__65385968.json,65385968,planning_decision_hard,2,tier6_mitigation_multiround__context_cache,t6_moderate_delay,,300,300,0,0,,,,,True,3,0,189.92,720,5,5,True,0,0,0,heuristic,2063,3
planning_decision_hard__tier6_mitigation_multiround__context_cache__t6_moderate_delay__run3__b159bf8c.json,b159bf8c,planning_decision_hard,3,tier6_mitigation_multiround__context_cache,t6_moderate_delay,,300,300,0,0,,,,,False,6,1,520.97,2724,4,5,True,0,0,1,heuristic,2548,6
planning_decision_hard__tier6_mitigation_multiround__context_cache__t6_moderate_delay__run4__5cdfa828.json,5cdfa828,planning_decision_hard,4,tier6_mitigation_multiround__context_cache,t6_moderate_delay,,300,300,0,0,,,,,True,3,0,353.81,805,5,5,True,0,0,0,heuristic,2334,3
