log_file,run_id,task_name,run_index,phase,scenario_name,scenario_type,delay_ms,requested_delay_ms,jitter_ms,loss_pct,bandwidth_kbit,main_effect_axis,match_id,side,success,rounds,reviewer_rejections,elapsed_seconds,total_tokens,quality_score,ground_truth_score,ground_truth_passed,retry_count,timeout_count,total_error_count,eval_mode,final_answer_length,n_messages
coding_task_hard__tier6_mitigation_multiround__none__t6_baseline__run10__0e2f1997.json,0e2f1997,coding_task_hard,10,tier6_mitigation_multiround__none,t6_baseline,,0,0,0,0,,,,,True,3,0,436.8,1226,5,5,True,0,0,0,heuristic,4182,3
coding_task_hard__tier6_mitigation_multiround__none__t6_baseline__run1__80a8e29a.json,80a8e29a,coding_task_hard,1,tier6_mitigation_multiround__none,t6_baseline,,0,0,0,0,,,,,True,3,0,315.04,775,5,5,True,0,0,0,heuristic,2284,3
coding_task_hard__tier6_mitigation_multiround__none__t6_baseline__run2__3d75de17.json,3d75de17,coding_task_hard,2,tier6_mitigation_multiround__none,t6_baseline,,0,0,0,0,,,,,True,3,0,424.67,911,5,5,True,0,0,0,heuristic,2920,3
coding_task_hard__tier6_mitigation_multiround__none__t6_baseline__run3__4523d3de.json,4523d3de,coding_task_hard,3,tier6_mitigation_multiround__none,t6_baseline,,0,0,0,0,,,,,False,6,1,3476.14,3544,4,5,True,0,1,3,heuristic,3963,7
coding_task_hard__tier6_mitigation_multiround__none__t6_baseline__run4__4620991a.json,4620991a,coding_task_hard,4,tier6_mitigation_multiround__none,t6_baseline,,0,0,0,0,,,,,True,6,1,2177.11,2247,5,5,True,0,0,1,heuristic,3264,6
coding_task_hard__tier6_mitigation_multiround__none__t6_baseline__run5__0e9a0f64.json,0e9a0f64,coding_task_hard,5,tier6_mitigation_multiround__none,t6_baseline,,0,0,0,0,,,,,True,3,0,553.48,981,5,4,True,0,0,0,heuristic,3059,3
coding_task_hard__tier6_mitigation_multiround__none__t6_baseline__run6__fbe6a9d9.json,fbe6a9d9,coding_task_hard,6,tier6_mitigation_multiround__none,t6_baseline,,0,0,0,0,,,,,False,6,1,717.16,3405,4,5,True,0,0,1,heuristic,4066,6
coding_task_hard__tier6_mitigation_multiround__none__t6_baseline__run7__de8207a7.json,de8207a7,coding_task_hard,7,tier6_mitigation_multiround__none,t6_baseline,,0,0,0,0,,,,,True,3,0,968.01,951,5,5,True,0,0,0,heuristic,3080,3
coding_task_hard__tier6_mitigation_multiround__none__t6_baseline__run8__89e9a386.json,89e9a386,coding_task_hard,8,tier6_mitigation_multiround__none,t6_baseline,,0,0,0,0,,,,,False,6,1,776.71,2725,2,5,True,0,0,1,heuristic,3645,6
coding_task_hard__tier6_mitigation_multiround__none__t6_baseline__run9__d8a71ecc.json,d8a71ecc,coding_task_hard,9,tier6_mitigation_multiround__none,t6_baseline,,0,0,0,0,,,,,True,3,0,405.64,858,5,5,True,0,0,0,heuristic,2708,3
