log_file,run_id,task_name,run_index,phase,scenario_name,scenario_type,delay_ms,requested_delay_ms,jitter_ms,loss_pct,bandwidth_kbit,main_effect_axis,match_id,side,success,rounds,reviewer_rejections,elapsed_seconds,total_tokens,quality_score,ground_truth_score,ground_truth_passed,retry_count,timeout_count,total_error_count,eval_mode,final_answer_length,n_messages
coding_task__tier7_ingress__both__t7in_baseline__run1__db37dc5a.json,db37dc5a,coding_task,1,tier7_ingress__both,t7in_baseline,ingress_subset,0,0,0,0,,,,,True,3,0,435.97,282,5,5,True,0,0,0,heuristic,928,3
coding_task__tier7_ingress__both__t7in_baseline__run2__4d8569ba.json,4d8569ba,coding_task,2,tier7_ingress__both,t7in_baseline,ingress_subset,0,0,0,0,,,,,True,3,0,460.49,279,5,5,True,0,0,0,heuristic,916,3
coding_task__tier7_ingress__both__t7in_baseline__run3__bc883ae4.json,bc883ae4,coding_task,3,tier7_ingress__both,t7in_baseline,ingress_subset,0,0,0,0,,,,,False,1,0,1089.34,105,,1,False,2,3,5,heuristic,0,3
coding_task__tier7_ingress__both__t7in_baseline__run4__90cf1dbc.json,90cf1dbc,coding_task,4,tier7_ingress__both,t7in_baseline,ingress_subset,0,0,0,0,,,,,True,3,0,318.61,300,5,5,True,0,0,0,heuristic,1003,3
coding_task__tier7_ingress__both__t7in_baseline__run5__5a9c3ab8.json,5a9c3ab8,coding_task,5,tier7_ingress__both,t7in_baseline,ingress_subset,0,0,0,0,,,,,True,3,0,283.82,250,5,5,True,0,0,0,heuristic,798,3
coding_task__tier7_ingress__both__t7in_bw50__run1__44027b1a.json,44027b1a,coding_task,1,tier7_ingress__both,t7in_bw50,ingress_subset,0,0,0,0,50,,,,False,1,0,1091.29,105,,1,False,2,3,5,heuristic,0,3
coding_task__tier7_ingress__both__t7in_bw50__run2__57ca23c9.json,57ca23c9,coding_task,2,tier7_ingress__both,t7in_bw50,ingress_subset,0,0,0,0,50,,,,False,1,0,1090.33,105,,1,False,2,3,5,heuristic,0,3
coding_task__tier7_ingress__both__t7in_bw50__run3__9c3fdcbb.json,9c3fdcbb,coding_task,3,tier7_ingress__both,t7in_bw50,ingress_subset,0,0,0,0,50,,,,False,1,0,1089.47,105,,1,False,2,3,5,heuristic,0,3
coding_task__tier7_ingress__both__t7in_bw50__run4__96d14d2b.json,96d14d2b,coding_task,4,tier7_ingress__both,t7in_bw50,ingress_subset,0,0,0,0,50,,,,True,3,0,832.5,343,5,5,True,0,1,2,heuristic,1034,4
coding_task__tier7_ingress__both__t7in_bw50__run5__c151f040.json,c151f040,coding_task,5,tier7_ingress__both,t7in_bw50,ingress_subset,0,0,0,0,50,,,,False,1,0,1089.75,105,,1,False,2,3,5,heuristic,0,3
