log_file,run_id,task_name,run_index,phase,scenario_name,scenario_type,delay_ms,requested_delay_ms,jitter_ms,loss_pct,bandwidth_kbit,main_effect_axis,match_id,side,success,rounds,reviewer_rejections,elapsed_seconds,total_tokens,quality_score,ground_truth_score,ground_truth_passed,retry_count,timeout_count,total_error_count,eval_mode,final_answer_length,n_messages
coding_task__tier7_fixed_timeout__fixed_long_timeout__t7_loss65__run1__d1461c35.json,d1461c35,coding_task,1,tier7_fixed_timeout__fixed_long_timeout,t7_loss65,main_effect,0,0,0,65,,loss,,,True,3,0,125.38,308,5,5,True,0,0,0,heuristic,1030,3
coding_task__tier7_fixed_timeout__fixed_long_timeout__t7_loss65__run2__93944f89.json,93944f89,coding_task,2,tier7_fixed_timeout__fixed_long_timeout,t7_loss65,main_effect,0,0,0,65,,loss,,,True,3,0,299.97,223,5,5,True,0,0,0,heuristic,688,3
coding_task__tier7_fixed_timeout__fixed_long_timeout__t7_loss65__run3__545383ef.json,545383ef,coding_task,3,tier7_fixed_timeout__fixed_long_timeout,t7_loss65,main_effect,0,0,0,65,,loss,,,True,3,0,98.63,318,5,5,True,0,0,0,heuristic,1042,3
coding_task__tier7_fixed_timeout__fixed_long_timeout__t7_loss65__run4__46f240ec.json,46f240ec,coding_task,4,tier7_fixed_timeout__fixed_long_timeout,t7_loss65,main_effect,0,0,0,65,,loss,,,True,3,0,196.71,296,5,5,True,0,0,0,heuristic,954,3
coding_task__tier7_fixed_timeout__fixed_long_timeout__t7_loss65__run5__b797e57e.json,b797e57e,coding_task,5,tier7_fixed_timeout__fixed_long_timeout,t7_loss65,main_effect,0,0,0,65,,loss,,,True,3,0,456.49,257,5,5,True,0,0,0,heuristic,824,3
coding_task__tier7_fixed_timeout__fixed_long_timeout__t7_loss70__run1__d6174662.json,d6174662,coding_task,1,tier7_fixed_timeout__fixed_long_timeout,t7_loss70,main_effect,0,0,0,70,,loss,,,True,3,0,507.94,314,5,5,True,0,0,0,heuristic,1028,3
coding_task__tier7_fixed_timeout__fixed_long_timeout__t7_loss70__run2__e047ffcf.json,e047ffcf,coding_task,2,tier7_fixed_timeout__fixed_long_timeout,t7_loss70,main_effect,0,0,0,70,,loss,,,True,3,0,528.28,350,5,5,True,0,0,0,heuristic,1202,3
coding_task__tier7_fixed_timeout__fixed_long_timeout__t7_loss70__run3__ab42e2a6.json,ab42e2a6,coding_task,3,tier7_fixed_timeout__fixed_long_timeout,t7_loss70,main_effect,0,0,0,70,,loss,,,True,3,0,208.33,249,5,5,True,0,0,0,heuristic,798,3
coding_task__tier7_fixed_timeout__fixed_long_timeout__t7_loss70__run4__b86963a9.json,b86963a9,coding_task,4,tier7_fixed_timeout__fixed_long_timeout,t7_loss70,main_effect,0,0,0,70,,loss,,,True,3,0,155.73,265,5,5,True,0,0,0,heuristic,866,3
coding_task__tier7_fixed_timeout__fixed_long_timeout__t7_loss70__run5__ae8be288.json,ae8be288,coding_task,5,tier7_fixed_timeout__fixed_long_timeout,t7_loss70,main_effect,0,0,0,70,,loss,,,True,3,0,194.1,319,5,5,True,0,0,0,heuristic,1055,3
coding_task__tier7_fixed_timeout__fixed_long_timeout__t7_loss75__run1__2ff5468a.json,2ff5468a,coding_task,1,tier7_fixed_timeout__fixed_long_timeout,t7_loss75,main_effect,0,0,0,75,,loss,,,True,3,0,409.88,269,5,5,True,0,0,0,heuristic,843,3
coding_task__tier7_fixed_timeout__fixed_long_timeout__t7_loss75__run2__fb691877.json,fb691877,coding_task,2,tier7_fixed_timeout__fixed_long_timeout,t7_loss75,main_effect,0,0,0,75,,loss,,,True,3,0,809.66,253,5,5,True,0,0,0,heuristic,809,3
coding_task__tier7_fixed_timeout__fixed_long_timeout__t7_loss75__run3__d25b4e0e.json,d25b4e0e,coding_task,3,tier7_fixed_timeout__fixed_long_timeout,t7_loss75,main_effect,0,0,0,75,,loss,,,False,0,0,1851.98,228,,,,0,0,1,,774,2
coding_task__tier7_fixed_timeout__fixed_long_timeout__t7_loss75__run4__9f68998d.json,9f68998d,coding_task,4,tier7_fixed_timeout__fixed_long_timeout,t7_loss75,main_effect,0,0,0,75,,loss,,,True,3,0,1196.93,372,5,5,True,0,0,0,heuristic,1235,3
coding_task__tier7_fixed_timeout__fixed_long_timeout__t7_loss75__run5__e24159d4.json,e24159d4,coding_task,5,tier7_fixed_timeout__fixed_long_timeout,t7_loss75,main_effect,0,0,0,75,,loss,,,False,0,0,698.37,35,,,,0,0,1,,0,1
data_analysis__tier7_fixed_timeout__fixed_long_timeout__t7_loss65__run1__d7f11c1e.json,d7f11c1e,data_analysis,1,tier7_fixed_timeout__fixed_long_timeout,t7_loss65,main_effect,0,0,0,65,,loss,,,True,3,0,140.69,565,5,5,True,0,0,0,heuristic,1991,3
data_analysis__tier7_fixed_timeout__fixed_long_timeout__t7_loss65__run2__be1a8f4d.json,be1a8f4d,data_analysis,2,tier7_fixed_timeout__fixed_long_timeout,t7_loss65,main_effect,0,0,0,65,,loss,,,True,3,0,109.87,502,5,5,True,0,0,0,heuristic,1787,3
data_analysis__tier7_fixed_timeout__fixed_long_timeout__t7_loss65__run3__e46af34e.json,e46af34e,data_analysis,3,tier7_fixed_timeout__fixed_long_timeout,t7_loss65,main_effect,0,0,0,65,,loss,,,True,3,0,327.84,524,5,5,True,0,0,0,heuristic,1885,3
data_analysis__tier7_fixed_timeout__fixed_long_timeout__t7_loss65__run4__e1bc264c.json,e1bc264c,data_analysis,4,tier7_fixed_timeout__fixed_long_timeout,t7_loss65,main_effect,0,0,0,65,,loss,,,True,3,0,135.5,580,5,5,True,0,0,0,heuristic,2091,3
data_analysis__tier7_fixed_timeout__fixed_long_timeout__t7_loss65__run5__ea7df614.json,ea7df614,data_analysis,5,tier7_fixed_timeout__fixed_long_timeout,t7_loss65,main_effect,0,0,0,65,,loss,,,True,3,0,166.37,675,5,5,True,0,0,0,heuristic,2469,3
data_analysis__tier7_fixed_timeout__fixed_long_timeout__t7_loss70__run1__c08195a8.json,c08195a8,data_analysis,1,tier7_fixed_timeout__fixed_long_timeout,t7_loss70,main_effect,0,0,0,70,,loss,,,True,3,0,1036.43,537,5,5,True,0,0,0,heuristic,1930,3
data_analysis__tier7_fixed_timeout__fixed_long_timeout__t7_loss70__run2__0709abd9.json,0709abd9,data_analysis,2,tier7_fixed_timeout__fixed_long_timeout,t7_loss70,main_effect,0,0,0,70,,loss,,,True,3,0,850.45,624,5,5,True,0,0,0,heuristic,2283,3
data_analysis__tier7_fixed_timeout__fixed_long_timeout__t7_loss70__run3__2c60c5ed.json,2c60c5ed,data_analysis,3,tier7_fixed_timeout__fixed_long_timeout,t7_loss70,main_effect,0,0,0,70,,loss,,,True,3,0,568.8,550,5,5,True,0,0,0,heuristic,1973,3
data_analysis__tier7_fixed_timeout__fixed_long_timeout__t7_loss70__run4__b926974b.json,b926974b,data_analysis,4,tier7_fixed_timeout__fixed_long_timeout,t7_loss70,main_effect,0,0,0,70,,loss,,,False,0,0,701.09,33,,,,0,0,1,,0,1
data_analysis__tier7_fixed_timeout__fixed_long_timeout__t7_loss70__run5__6fdee109.json,6fdee109,data_analysis,5,tier7_fixed_timeout__fixed_long_timeout,t7_loss70,main_effect,0,0,0,70,,loss,,,True,3,0,153.97,529,5,5,True,0,0,0,heuristic,1896,3
data_analysis__tier7_fixed_timeout__fixed_long_timeout__t7_loss75__run1__69d75c22.json,69d75c22,data_analysis,1,tier7_fixed_timeout__fixed_long_timeout,t7_loss75,main_effect,0,0,0,75,,loss,,,True,3,0,92.39,655,5,5,True,0,0,0,heuristic,2388,3
data_analysis__tier7_fixed_timeout__fixed_long_timeout__t7_loss75__run2__a017dbac.json,a017dbac,data_analysis,2,tier7_fixed_timeout__fixed_long_timeout,t7_loss75,main_effect,0,0,0,75,,loss,,,False,0,0,488.64,531,,,,0,0,1,,1995,2
data_analysis__tier7_fixed_timeout__fixed_long_timeout__t7_loss75__run3__544ce2d2.json,544ce2d2,data_analysis,3,tier7_fixed_timeout__fixed_long_timeout,t7_loss75,main_effect,0,0,0,75,,loss,,,False,0,0,804.35,628,,,,0,0,1,,2383,2
data_analysis__tier7_fixed_timeout__fixed_long_timeout__t7_loss75__run4__7a70b79f.json,7a70b79f,data_analysis,4,tier7_fixed_timeout__fixed_long_timeout,t7_loss75,main_effect,0,0,0,75,,loss,,,True,3,0,266.79,529,5,5,True,0,0,0,heuristic,1904,3
data_analysis__tier7_fixed_timeout__fixed_long_timeout__t7_loss75__run5__6230a267.json,6230a267,data_analysis,5,tier7_fixed_timeout__fixed_long_timeout,t7_loss75,main_effect,0,0,0,75,,loss,,,True,3,0,703.18,578,5,5,True,0,0,0,heuristic,2165,3
planning_decision__tier7_fixed_timeout__fixed_long_timeout__t7_loss65__run1__b46e5974.json,b46e5974,planning_decision,1,tier7_fixed_timeout__fixed_long_timeout,t7_loss65,main_effect,0,0,0,65,,loss,,,True,3,0,406.14,236,5,5,True,0,0,0,heuristic,717,3
planning_decision__tier7_fixed_timeout__fixed_long_timeout__t7_loss65__run2__ee6b6ffb.json,ee6b6ffb,planning_decision,2,tier7_fixed_timeout__fixed_long_timeout,t7_loss65,main_effect,0,0,0,65,,loss,,,True,3,0,84.62,283,5,5,True,0,0,0,heuristic,869,3
planning_decision__tier7_fixed_timeout__fixed_long_timeout__t7_loss65__run3__99659870.json,99659870,planning_decision,3,tier7_fixed_timeout__fixed_long_timeout,t7_loss65,main_effect,0,0,0,65,,loss,,,True,3,0,349.28,132,5,5,True,0,0,0,heuristic,279,3
planning_decision__tier7_fixed_timeout__fixed_long_timeout__t7_loss65__run4__ab3dc96c.json,ab3dc96c,planning_decision,4,tier7_fixed_timeout__fixed_long_timeout,t7_loss65,main_effect,0,0,0,65,,loss,,,True,3,0,103.16,253,5,5,True,0,0,0,heuristic,779,3
planning_decision__tier7_fixed_timeout__fixed_long_timeout__t7_loss65__run5__37504de3.json,37504de3,planning_decision,5,tier7_fixed_timeout__fixed_long_timeout,t7_loss65,main_effect,0,0,0,65,,loss,,,True,3,0,417.93,188,5,4,True,0,0,0,heuristic,568,3
planning_decision__tier7_fixed_timeout__fixed_long_timeout__t7_loss70__run1__f2634718.json,f2634718,planning_decision,1,tier7_fixed_timeout__fixed_long_timeout,t7_loss70,main_effect,0,0,0,70,,loss,,,True,6,1,801.72,688,5,5,True,0,0,1,heuristic,816,6
planning_decision__tier7_fixed_timeout__fixed_long_timeout__t7_loss70__run2__a0062764.json,a0062764,planning_decision,2,tier7_fixed_timeout__fixed_long_timeout,t7_loss70,main_effect,0,0,0,70,,loss,,,True,3,0,78.55,257,5,5,True,0,0,0,heuristic,794,3
planning_decision__tier7_fixed_timeout__fixed_long_timeout__t7_loss70__run3__fcc3983a.json,fcc3983a,planning_decision,3,tier7_fixed_timeout__fixed_long_timeout,t7_loss70,main_effect,0,0,0,70,,loss,,,True,3,0,107.34,248,5,5,True,0,0,0,heuristic,758,3
planning_decision__tier7_fixed_timeout__fixed_long_timeout__t7_loss70__run4__7a4521f6.json,7a4521f6,planning_decision,4,tier7_fixed_timeout__fixed_long_timeout,t7_loss70,main_effect,0,0,0,70,,loss,,,True,3,0,83.52,257,5,5,True,0,0,0,heuristic,755,3
planning_decision__tier7_fixed_timeout__fixed_long_timeout__t7_loss70__run5__8ee01d3a.json,8ee01d3a,planning_decision,5,tier7_fixed_timeout__fixed_long_timeout,t7_loss70,main_effect,0,0,0,70,,loss,,,True,3,0,120.49,254,5,5,True,0,0,0,heuristic,782,3
planning_decision__tier7_fixed_timeout__fixed_long_timeout__t7_loss75__run1__84ede4b8.json,84ede4b8,planning_decision,1,tier7_fixed_timeout__fixed_long_timeout,t7_loss75,main_effect,0,0,0,75,,loss,,,True,3,0,690.54,226,5,4,True,0,0,0,heuristic,634,3
planning_decision__tier7_fixed_timeout__fixed_long_timeout__t7_loss75__run2__8e091522.json,8e091522,planning_decision,2,tier7_fixed_timeout__fixed_long_timeout,t7_loss75,main_effect,0,0,0,75,,loss,,,False,0,0,12.3,42,,,,0,0,1,,0,1
planning_decision__tier7_fixed_timeout__fixed_long_timeout__t7_loss75__run3__79245cea.json,79245cea,planning_decision,3,tier7_fixed_timeout__fixed_long_timeout,t7_loss75,main_effect,0,0,0,75,,loss,,,True,3,0,731.48,260,5,5,True,0,0,0,heuristic,686,3
planning_decision__tier7_fixed_timeout__fixed_long_timeout__t7_loss75__run4__5896e0fc.json,5896e0fc,planning_decision,4,tier7_fixed_timeout__fixed_long_timeout,t7_loss75,main_effect,0,0,0,75,,loss,,,False,0,0,484.34,42,,,,0,0,1,,0,1
planning_decision__tier7_fixed_timeout__fixed_long_timeout__t7_loss75__run5__49dbe70f.json,49dbe70f,planning_decision,5,tier7_fixed_timeout__fixed_long_timeout,t7_loss75,main_effect,0,0,0,75,,loss,,,True,3,0,167.63,302,5,5,True,0,0,0,heuristic,909,3
research_summary__tier7_fixed_timeout__fixed_long_timeout__t7_loss65__run1__61b6c328.json,61b6c328,research_summary,1,tier7_fixed_timeout__fixed_long_timeout,t7_loss65,main_effect,0,0,0,65,,loss,,,True,3,0,158.14,313,5,5,True,0,0,0,heuristic,1007,3
research_summary__tier7_fixed_timeout__fixed_long_timeout__t7_loss65__run2__0aec1843.json,0aec1843,research_summary,2,tier7_fixed_timeout__fixed_long_timeout,t7_loss65,main_effect,0,0,0,65,,loss,,,True,3,0,422.66,389,5,4,True,0,0,0,heuristic,1350,3
research_summary__tier7_fixed_timeout__fixed_long_timeout__t7_loss65__run3__2f218324.json,2f218324,research_summary,3,tier7_fixed_timeout__fixed_long_timeout,t7_loss65,main_effect,0,0,0,65,,loss,,,True,3,0,170.14,263,5,3,False,0,0,0,heuristic,848,3
research_summary__tier7_fixed_timeout__fixed_long_timeout__t7_loss65__run4__94d96554.json,94d96554,research_summary,4,tier7_fixed_timeout__fixed_long_timeout,t7_loss65,main_effect,0,0,0,65,,loss,,,True,3,0,128.52,442,5,5,True,0,0,0,heuristic,1535,3
research_summary__tier7_fixed_timeout__fixed_long_timeout__t7_loss65__run5__946355e4.json,946355e4,research_summary,5,tier7_fixed_timeout__fixed_long_timeout,t7_loss65,main_effect,0,0,0,65,,loss,,,True,3,0,246.89,203,5,3,False,0,0,0,heuristic,576,3
research_summary__tier7_fixed_timeout__fixed_long_timeout__t7_loss70__run1__0beb094d.json,0beb094d,research_summary,1,tier7_fixed_timeout__fixed_long_timeout,t7_loss70,main_effect,0,0,0,70,,loss,,,True,6,1,842.75,753,5,4,True,0,0,1,heuristic,1009,6
research_summary__tier7_fixed_timeout__fixed_long_timeout__t7_loss70__run2__57892939.json,57892939,research_summary,2,tier7_fixed_timeout__fixed_long_timeout,t7_loss70,main_effect,0,0,0,70,,loss,,,True,3,0,250.26,263,5,4,True,0,0,0,heuristic,816,3
