log_file,run_id,task_name,run_index,phase,scenario_name,scenario_type,delay_ms,requested_delay_ms,jitter_ms,loss_pct,bandwidth_kbit,main_effect_axis,match_id,side,success,rounds,reviewer_rejections,elapsed_seconds,total_tokens,quality_score,ground_truth_score,ground_truth_passed,retry_count,timeout_count,total_error_count,eval_mode,final_answer_length,n_messages
coding_task__tier8_achieved_path__t8ap_baseline__run1__5661535e.json,5661535e,coding_task,1,tier8_achieved_path,t8ap_baseline,achieved_path_check,0,0,0,0,,,,,True,3,0,343.69,328,5,5,True,0,0,0,heuristic,1067,3
coding_task__tier8_achieved_path__t8ap_baseline__run2__4c3a62d5.json,4c3a62d5,coding_task,2,tier8_achieved_path,t8ap_baseline,achieved_path_check,0,0,0,0,,,,,True,3,0,213.02,262,5,4,True,0,0,0,heuristic,845,3
coding_task__tier8_achieved_path__t8ap_baseline__run3__e6c4ce46.json,e6c4ce46,coding_task,3,tier8_achieved_path,t8ap_baseline,achieved_path_check,0,0,0,0,,,,,True,3,0,238.42,336,5,5,True,0,0,0,heuristic,1144,3
coding_task__tier8_achieved_path__t8ap_baseline__run4__1a2783e4.json,1a2783e4,coding_task,4,tier8_achieved_path,t8ap_baseline,achieved_path_check,0,0,0,0,,,,,True,3,0,443.53,341,5,5,True,0,0,0,heuristic,1165,3
coding_task__tier8_achieved_path__t8ap_baseline__run5__772da7f8.json,772da7f8,coding_task,5,tier8_achieved_path,t8ap_baseline,achieved_path_check,0,0,0,0,,,,,True,3,0,251.95,256,5,5,True,0,0,0,heuristic,821,3
coding_task__tier8_achieved_path__t8ap_bw50__run1__68a65121.json,68a65121,coding_task,1,tier8_achieved_path,t8ap_bw50,achieved_path_check,0,0,0,0,50,,,,True,3,0,198.42,355,5,4,True,0,0,0,heuristic,1181,3
coding_task__tier8_achieved_path__t8ap_bw50__run2__0a020f9d.json,0a020f9d,coding_task,2,tier8_achieved_path,t8ap_bw50,achieved_path_check,0,0,0,0,50,,,,True,3,0,135.99,301,5,5,True,0,0,0,heuristic,1007,3
coding_task__tier8_achieved_path__t8ap_bw50__run3__e4f169d3.json,e4f169d3,coding_task,3,tier8_achieved_path,t8ap_bw50,achieved_path_check,0,0,0,0,50,,,,True,3,0,272.17,274,5,5,True,0,0,0,heuristic,895,3
coding_task__tier8_achieved_path__t8ap_bw50__run4__a1247778.json,a1247778,coding_task,4,tier8_achieved_path,t8ap_bw50,achieved_path_check,0,0,0,0,50,,,,True,3,0,316.96,339,5,5,True,0,0,0,heuristic,1162,3
coding_task__tier8_achieved_path__t8ap_bw50__run5__6a268470.json,6a268470,coding_task,5,tier8_achieved_path,t8ap_bw50,achieved_path_check,0,0,0,0,50,,,,True,3,0,225.83,344,5,5,True,0,0,0,heuristic,1135,3
coding_task__tier8_achieved_path__t8ap_delay3000__run1__f9c79713.json,f9c79713,coding_task,1,tier8_achieved_path,t8ap_delay3000,achieved_path_check,3000,3000,0,0,,,,,True,3,0,229.53,311,5,5,True,0,0,0,heuristic,1038,3
coding_task__tier8_achieved_path__t8ap_delay3000__run2__5caf9401.json,5caf9401,coding_task,2,tier8_achieved_path,t8ap_delay3000,achieved_path_check,3000,3000,0,0,,,,,True,3,0,163.45,241,5,5,True,0,0,0,heuristic,765,3
coding_task__tier8_achieved_path__t8ap_delay3000__run3__2b7dca24.json,2b7dca24,coding_task,3,tier8_achieved_path,t8ap_delay3000,achieved_path_check,3000,3000,0,0,,,,,True,3,0,176.69,286,5,5,True,0,0,0,heuristic,916,3
coding_task__tier8_achieved_path__t8ap_delay3000__run4__35f45cda.json,35f45cda,coding_task,4,tier8_achieved_path,t8ap_delay3000,achieved_path_check,3000,3000,0,0,,,,,True,3,0,224.7,302,5,5,True,0,0,0,heuristic,1004,3
coding_task__tier8_achieved_path__t8ap_delay3000__run5__a5727967.json,a5727967,coding_task,5,tier8_achieved_path,t8ap_delay3000,achieved_path_check,3000,3000,0,0,,,,,True,3,0,359.15,299,5,5,True,0,0,0,heuristic,1007,3
coding_task__tier8_achieved_path__t8ap_loss75__run1__1194c83e.json,1194c83e,coding_task,1,tier8_achieved_path,t8ap_loss75,achieved_path_check,0,0,0,75,,,,,True,3,0,320.92,259,5,5,True,0,0,0,heuristic,835,3
coding_task__tier8_achieved_path__t8ap_loss75__run2__f0b55e7d.json,f0b55e7d,coding_task,2,tier8_achieved_path,t8ap_loss75,achieved_path_check,0,0,0,75,,,,,True,3,0,805.8,344,5,5,True,0,0,0,heuristic,1152,3
coding_task__tier8_achieved_path__t8ap_loss75__run3__ac858336.json,ac858336,coding_task,3,tier8_achieved_path,t8ap_loss75,achieved_path_check,0,0,0,75,,,,,True,3,0,175.34,274,5,5,True,0,0,0,heuristic,894,3
coding_task__tier8_achieved_path__t8ap_loss75__run4__c0cc240b.json,c0cc240b,coding_task,4,tier8_achieved_path,t8ap_loss75,achieved_path_check,0,0,0,75,,,,,True,3,0,477.37,307,5,5,True,0,0,0,heuristic,1019,3
coding_task__tier8_achieved_path__t8ap_loss75__run5__789973ba.json,789973ba,coding_task,5,tier8_achieved_path,t8ap_loss75,achieved_path_check,0,0,0,75,,,,,True,3,0,514.79,220,5,5,True,0,0,0,heuristic,677,3
data_analysis__tier8_achieved_path__t8ap_baseline__run1__e2d377f4.json,e2d377f4,data_analysis,1,tier8_achieved_path,t8ap_baseline,achieved_path_check,0,0,0,0,,,,,True,3,0,210.0,621,5,5,True,0,0,0,heuristic,2266,3
data_analysis__tier8_achieved_path__t8ap_baseline__run2__e5a38425.json,e5a38425,data_analysis,2,tier8_achieved_path,t8ap_baseline,achieved_path_check,0,0,0,0,,,,,True,3,0,189.37,550,5,5,True,0,0,0,heuristic,1985,3
data_analysis__tier8_achieved_path__t8ap_baseline__run3__45e540a3.json,45e540a3,data_analysis,3,tier8_achieved_path,t8ap_baseline,achieved_path_check,0,0,0,0,,,,,True,3,0,157.37,601,5,5,True,0,0,0,heuristic,2208,3
data_analysis__tier8_achieved_path__t8ap_baseline__run4__ce922a89.json,ce922a89,data_analysis,4,tier8_achieved_path,t8ap_baseline,achieved_path_check,0,0,0,0,,,,,True,3,0,283.87,692,5,5,True,0,0,0,heuristic,2484,3
