log_file,run_id,task_name,run_index,phase,scenario_name,scenario_type,delay_ms,requested_delay_ms,jitter_ms,loss_pct,bandwidth_kbit,main_effect_axis,match_id,side,success,rounds,reviewer_rejections,elapsed_seconds,total_tokens,quality_score,ground_truth_score,ground_truth_passed,retry_count,timeout_count,total_error_count,eval_mode,final_answer_length,n_messages
coding_task__tier8_fixed_timeout__adaptive_timeout__t8_loss65__run1__72416bb8.json,72416bb8,coding_task,1,tier8_fixed_timeout__adaptive_timeout,t8_loss65,main_effect,0,0,0,65,,loss,,,True,3,0,187.54,268,5,5,True,0,0,0,heuristic,864,3
coding_task__tier8_fixed_timeout__adaptive_timeout__t8_loss65__run2__bb0a844e.json,bb0a844e,coding_task,2,tier8_fixed_timeout__adaptive_timeout,t8_loss65,main_effect,0,0,0,65,,loss,,,True,3,0,562.2,383,5,5,True,0,0,0,heuristic,1305,3
coding_task__tier8_fixed_timeout__adaptive_timeout__t8_loss65__run3__c46ac4a3.json,c46ac4a3,coding_task,3,tier8_fixed_timeout__adaptive_timeout,t8_loss65,main_effect,0,0,0,65,,loss,,,True,3,0,258.89,324,5,5,True,0,0,0,heuristic,1055,3
coding_task__tier8_fixed_timeout__adaptive_timeout__t8_loss65__run4__6a5f0967.json,6a5f0967,coding_task,4,tier8_fixed_timeout__adaptive_timeout,t8_loss65,main_effect,0,0,0,65,,loss,,,True,3,0,265.41,277,5,5,True,0,0,0,heuristic,904,3
coding_task__tier8_fixed_timeout__adaptive_timeout__t8_loss65__run5__3f225b75.json,3f225b75,coding_task,5,tier8_fixed_timeout__adaptive_timeout,t8_loss65,main_effect,0,0,0,65,,loss,,,True,3,0,297.79,314,5,5,True,0,0,0,heuristic,1048,3
coding_task__tier8_fixed_timeout__adaptive_timeout__t8_loss70__run1__889f77eb.json,889f77eb,coding_task,1,tier8_fixed_timeout__adaptive_timeout,t8_loss70,main_effect,0,0,0,70,,loss,,,True,3,0,312.49,247,5,5,True,0,0,0,heuristic,750,3
coding_task__tier8_fixed_timeout__adaptive_timeout__t8_loss70__run2__759c47f0.json,759c47f0,coding_task,2,tier8_fixed_timeout__adaptive_timeout,t8_loss70,main_effect,0,0,0,70,,loss,,,True,3,0,339.42,288,5,5,True,0,0,0,heuristic,954,3
coding_task__tier8_fixed_timeout__adaptive_timeout__t8_loss70__run3__f8bf55cd.json,f8bf55cd,coding_task,3,tier8_fixed_timeout__adaptive_timeout,t8_loss70,main_effect,0,0,0,70,,loss,,,True,3,0,258.7,301,5,5,True,0,0,0,heuristic,997,3
coding_task__tier8_fixed_timeout__adaptive_timeout__t8_loss70__run4__899385a9.json,899385a9,coding_task,4,tier8_fixed_timeout__adaptive_timeout,t8_loss70,main_effect,0,0,0,70,,loss,,,True,3,0,162.32,310,5,5,True,0,0,0,heuristic,1036,3
coding_task__tier8_fixed_timeout__adaptive_timeout__t8_loss70__run5__0ec52af9.json,0ec52af9,coding_task,5,tier8_fixed_timeout__adaptive_timeout,t8_loss70,main_effect,0,0,0,70,,loss,,,True,3,0,933.42,311,5,5,True,0,0,0,heuristic,1042,3
coding_task__tier8_fixed_timeout__adaptive_timeout__t8_loss75__run1__2b9b085a.json,2b9b085a,coding_task,1,tier8_fixed_timeout__adaptive_timeout,t8_loss75,main_effect,0,0,0,75,,loss,,,True,3,0,1453.48,333,5,5,True,0,0,0,heuristic,1134,3
coding_task__tier8_fixed_timeout__adaptive_timeout__t8_loss75__run2__65946827.json,65946827,coding_task,2,tier8_fixed_timeout__adaptive_timeout,t8_loss75,main_effect,0,0,0,75,,loss,,,True,3,0,541.1,286,5,5,True,0,0,0,heuristic,930,3
coding_task__tier8_fixed_timeout__adaptive_timeout__t8_loss75__run3__27a147c0.json,27a147c0,coding_task,3,tier8_fixed_timeout__adaptive_timeout,t8_loss75,main_effect,0,0,0,75,,loss,,,True,3,0,619.3,297,5,5,True,0,0,0,heuristic,928,3
coding_task__tier8_fixed_timeout__adaptive_timeout__t8_loss75__run4__bee0fab6.json,bee0fab6,coding_task,4,tier8_fixed_timeout__adaptive_timeout,t8_loss75,main_effect,0,0,0,75,,loss,,,True,3,0,216.08,329,5,5,True,0,0,0,heuristic,1112,3
coding_task__tier8_fixed_timeout__adaptive_timeout__t8_loss75__run5__ad8a966a.json,ad8a966a,coding_task,5,tier8_fixed_timeout__adaptive_timeout,t8_loss75,main_effect,0,0,0,75,,loss,,,True,3,0,248.66,265,5,5,True,0,0,0,heuristic,861,3
data_analysis__tier8_fixed_timeout__adaptive_timeout__t8_loss65__run1__0c566fd5.json,0c566fd5,data_analysis,1,tier8_fixed_timeout__adaptive_timeout,t8_loss65,main_effect,0,0,0,65,,loss,,,True,3,0,331.61,747,5,5,True,0,0,0,heuristic,2772,3
data_analysis__tier8_fixed_timeout__adaptive_timeout__t8_loss65__run2__84f7be5b.json,84f7be5b,data_analysis,2,tier8_fixed_timeout__adaptive_timeout,t8_loss65,main_effect,0,0,0,65,,loss,,,True,3,0,258.84,457,5,5,True,0,0,0,heuristic,1614,3
data_analysis__tier8_fixed_timeout__adaptive_timeout__t8_loss65__run3__457a3aff.json,457a3aff,data_analysis,3,tier8_fixed_timeout__adaptive_timeout,t8_loss65,main_effect,0,0,0,65,,loss,,,True,3,0,323.49,640,5,5,True,0,0,0,heuristic,2355,3
data_analysis__tier8_fixed_timeout__adaptive_timeout__t8_loss65__run4__1407f04c.json,1407f04c,data_analysis,4,tier8_fixed_timeout__adaptive_timeout,t8_loss65,main_effect,0,0,0,65,,loss,,,True,3,0,224.07,479,5,5,True,0,0,0,heuristic,1696,3
data_analysis__tier8_fixed_timeout__adaptive_timeout__t8_loss65__run5__360d5855.json,360d5855,data_analysis,5,tier8_fixed_timeout__adaptive_timeout,t8_loss65,main_effect,0,0,0,65,,loss,,,True,3,0,261.35,572,5,5,True,0,0,0,heuristic,2075,3
