log_file,run_id,task_name,run_index,phase,scenario_name,scenario_type,delay_ms,requested_delay_ms,jitter_ms,loss_pct,bandwidth_kbit,main_effect_axis,match_id,side,success,rounds,reviewer_rejections,elapsed_seconds,total_tokens,quality_score,ground_truth_score,ground_truth_passed,retry_count,timeout_count,total_error_count,eval_mode,final_answer_length,n_messages
coding_task__tier8_fixed_timeout__fixed_long_timeout__t8_loss65__run1__8f91524b.json,8f91524b,coding_task,1,tier8_fixed_timeout__fixed_long_timeout,t8_loss65,main_effect,0,0,0,65,,loss,,,True,3,0,230.08,309,5,5,True,0,0,0,heuristic,1006,3
coding_task__tier8_fixed_timeout__fixed_long_timeout__t8_loss65__run2__46ac7fa4.json,46ac7fa4,coding_task,2,tier8_fixed_timeout__fixed_long_timeout,t8_loss65,main_effect,0,0,0,65,,loss,,,True,3,0,479.14,388,5,5,True,0,0,0,heuristic,1322,3
coding_task__tier8_fixed_timeout__fixed_long_timeout__t8_loss65__run3__3b893a04.json,3b893a04,coding_task,3,tier8_fixed_timeout__fixed_long_timeout,t8_loss65,main_effect,0,0,0,65,,loss,,,True,3,0,231.84,219,5,5,True,0,0,0,heuristic,661,3
coding_task__tier8_fixed_timeout__fixed_long_timeout__t8_loss65__run4__f6a02ced.json,f6a02ced,coding_task,4,tier8_fixed_timeout__fixed_long_timeout,t8_loss65,main_effect,0,0,0,65,,loss,,,True,3,0,218.58,261,5,5,True,0,0,0,heuristic,836,3
coding_task__tier8_fixed_timeout__fixed_long_timeout__t8_loss65__run5__75af68be.json,75af68be,coding_task,5,tier8_fixed_timeout__fixed_long_timeout,t8_loss65,main_effect,0,0,0,65,,loss,,,True,3,0,281.49,302,5,5,True,0,0,0,heuristic,1005,3
coding_task__tier8_fixed_timeout__fixed_long_timeout__t8_loss70__run1__7e677263.json,7e677263,coding_task,1,tier8_fixed_timeout__fixed_long_timeout,t8_loss70,main_effect,0,0,0,70,,loss,,,True,3,0,471.62,359,5,5,True,0,0,0,heuristic,1235,3
coding_task__tier8_fixed_timeout__fixed_long_timeout__t8_loss70__run2__5e221bac.json,5e221bac,coding_task,2,tier8_fixed_timeout__fixed_long_timeout,t8_loss70,main_effect,0,0,0,70,,loss,,,True,3,0,270.65,241,5,5,True,0,0,0,heuristic,761,3
coding_task__tier8_fixed_timeout__fixed_long_timeout__t8_loss70__run3__129d382b.json,129d382b,coding_task,3,tier8_fixed_timeout__fixed_long_timeout,t8_loss70,main_effect,0,0,0,70,,loss,,,True,3,0,367.18,239,5,5,True,0,0,0,heuristic,743,3
coding_task__tier8_fixed_timeout__fixed_long_timeout__t8_loss70__run4__1d9ba684.json,1d9ba684,coding_task,4,tier8_fixed_timeout__fixed_long_timeout,t8_loss70,main_effect,0,0,0,70,,loss,,,True,3,0,246.63,284,5,5,True,0,0,0,heuristic,906,3
coding_task__tier8_fixed_timeout__fixed_long_timeout__t8_loss70__run5__d5c816ca.json,d5c816ca,coding_task,5,tier8_fixed_timeout__fixed_long_timeout,t8_loss70,main_effect,0,0,0,70,,loss,,,True,3,0,557.26,237,5,5,True,0,0,0,heuristic,747,3
coding_task__tier8_fixed_timeout__fixed_long_timeout__t8_loss75__run1__66c1bdfe.json,66c1bdfe,coding_task,1,tier8_fixed_timeout__fixed_long_timeout,t8_loss75,main_effect,0,0,0,75,,loss,,,True,3,0,241.31,310,5,5,True,0,0,0,heuristic,1036,3
coding_task__tier8_fixed_timeout__fixed_long_timeout__t8_loss75__run2__d7d60ff1.json,d7d60ff1,coding_task,2,tier8_fixed_timeout__fixed_long_timeout,t8_loss75,main_effect,0,0,0,75,,loss,,,True,3,0,424.73,264,5,5,True,0,0,0,heuristic,836,3
coding_task__tier8_fixed_timeout__fixed_long_timeout__t8_loss75__run3__eb077916.json,eb077916,coding_task,3,tier8_fixed_timeout__fixed_long_timeout,t8_loss75,main_effect,0,0,0,75,,loss,,,True,3,0,415.48,252,5,5,True,0,0,0,heuristic,769,3
coding_task__tier8_fixed_timeout__fixed_long_timeout__t8_loss75__run4__f627424e.json,f627424e,coding_task,4,tier8_fixed_timeout__fixed_long_timeout,t8_loss75,main_effect,0,0,0,75,,loss,,,True,3,0,715.75,300,5,5,True,0,0,0,heuristic,999,3
coding_task__tier8_fixed_timeout__fixed_long_timeout__t8_loss75__run5__541c0186.json,541c0186,coding_task,5,tier8_fixed_timeout__fixed_long_timeout,t8_loss75,main_effect,0,0,0,75,,loss,,,True,3,0,331.61,312,5,5,True,0,0,0,heuristic,1045,3
data_analysis__tier8_fixed_timeout__fixed_long_timeout__t8_loss65__run1__93ad35ff.json,93ad35ff,data_analysis,1,tier8_fixed_timeout__fixed_long_timeout,t8_loss65,main_effect,0,0,0,65,,loss,,,True,3,0,303.7,633,5,5,True,0,0,0,heuristic,2320,3
data_analysis__tier8_fixed_timeout__fixed_long_timeout__t8_loss65__run2__01f9c883.json,01f9c883,data_analysis,2,tier8_fixed_timeout__fixed_long_timeout,t8_loss65,main_effect,0,0,0,65,,loss,,,True,3,0,247.5,456,5,5,True,0,0,0,heuristic,1586,3
data_analysis__tier8_fixed_timeout__fixed_long_timeout__t8_loss65__run3__fc526dec.json,fc526dec,data_analysis,3,tier8_fixed_timeout__fixed_long_timeout,t8_loss65,main_effect,0,0,0,65,,loss,,,True,3,0,280.17,441,5,5,True,0,0,0,heuristic,1517,3
data_analysis__tier8_fixed_timeout__fixed_long_timeout__t8_loss65__run4__9e9b95a9.json,9e9b95a9,data_analysis,4,tier8_fixed_timeout__fixed_long_timeout,t8_loss65,main_effect,0,0,0,65,,loss,,,True,3,0,265.43,589,5,5,True,0,0,0,heuristic,2132,3
data_analysis__tier8_fixed_timeout__fixed_long_timeout__t8_loss65__run5__2885b103.json,2885b103,data_analysis,5,tier8_fixed_timeout__fixed_long_timeout,t8_loss65,main_effect,0,0,0,65,,loss,,,True,3,0,342.49,596,5,5,True,0,0,0,heuristic,2163,3
data_analysis__tier8_fixed_timeout__fixed_long_timeout__t8_loss70__run1__3a428cd6.json,3a428cd6,data_analysis,1,tier8_fixed_timeout__fixed_long_timeout,t8_loss70,main_effect,0,0,0,70,,loss,,,True,3,0,867.48,460,5,5,True,0,0,0,heuristic,1627,3
data_analysis__tier8_fixed_timeout__fixed_long_timeout__t8_loss70__run2__04f33347.json,04f33347,data_analysis,2,tier8_fixed_timeout__fixed_long_timeout,t8_loss70,main_effect,0,0,0,70,,loss,,,True,3,0,249.92,431,5,5,True,0,0,0,heuristic,1505,3
data_analysis__tier8_fixed_timeout__fixed_long_timeout__t8_loss70__run3__8d0c50ba.json,8d0c50ba,data_analysis,3,tier8_fixed_timeout__fixed_long_timeout,t8_loss70,main_effect,0,0,0,70,,loss,,,True,3,0,271.33,440,5,5,True,0,0,0,heuristic,1536,3
data_analysis__tier8_fixed_timeout__fixed_long_timeout__t8_loss70__run4__741bcdfa.json,741bcdfa,data_analysis,4,tier8_fixed_timeout__fixed_long_timeout,t8_loss70,main_effect,0,0,0,70,,loss,,,True,3,0,784.09,498,5,5,True,0,0,0,heuristic,1761,3
data_analysis__tier8_fixed_timeout__fixed_long_timeout__t8_loss70__run5__c9d0cec4.json,c9d0cec4,data_analysis,5,tier8_fixed_timeout__fixed_long_timeout,t8_loss70,main_effect,0,0,0,70,,loss,,,True,3,0,279.5,499,5,5,True,0,0,0,heuristic,1759,3
