log_file,run_id,task_name,run_index,phase,scenario_name,scenario_type,delay_ms,requested_delay_ms,jitter_ms,loss_pct,bandwidth_kbit,main_effect_axis,match_id,side,success,rounds,reviewer_rejections,elapsed_seconds,total_tokens,quality_score,ground_truth_score,ground_truth_passed,retry_count,timeout_count,total_error_count,eval_mode,final_answer_length,n_messages
coding_task__tier8_fixed_timeout__none__t8_loss65__run1__c9fad347.json,c9fad347,coding_task,1,tier8_fixed_timeout__none,t8_loss65,main_effect,0,0,0,65,,loss,,,True,3,0,169.22,255,5,5,True,0,0,0,heuristic,824,3
coding_task__tier8_fixed_timeout__none__t8_loss65__run2__2bf92c3e.json,2bf92c3e,coding_task,2,tier8_fixed_timeout__none,t8_loss65,main_effect,0,0,0,65,,loss,,,True,3,0,299.67,328,5,5,True,0,0,0,heuristic,1081,3
coding_task__tier8_fixed_timeout__none__t8_loss65__run3__977dd4cb.json,977dd4cb,coding_task,3,tier8_fixed_timeout__none,t8_loss65,main_effect,0,0,0,65,,loss,,,True,3,0,343.43,275,5,5,True,0,0,0,heuristic,896,3
coding_task__tier8_fixed_timeout__none__t8_loss65__run4__7f31c18e.json,7f31c18e,coding_task,4,tier8_fixed_timeout__none,t8_loss65,main_effect,0,0,0,65,,loss,,,True,3,0,311.32,291,5,5,True,0,0,0,heuristic,960,3
coding_task__tier8_fixed_timeout__none__t8_loss65__run5__5bbffa88.json,5bbffa88,coding_task,5,tier8_fixed_timeout__none,t8_loss65,main_effect,0,0,0,65,,loss,,,True,3,0,336.26,319,5,5,True,0,0,0,heuristic,1073,3
coding_task__tier8_fixed_timeout__none__t8_loss70__run1__8941084a.json,8941084a,coding_task,1,tier8_fixed_timeout__none,t8_loss70,main_effect,0,0,0,70,,loss,,,True,3,0,268.0,332,5,5,True,0,0,0,heuristic,1134,3
coding_task__tier8_fixed_timeout__none__t8_loss70__run2__a655e558.json,a655e558,coding_task,2,tier8_fixed_timeout__none,t8_loss70,main_effect,0,0,0,70,,loss,,,True,3,0,310.59,261,5,4,True,0,0,0,heuristic,768,3
coding_task__tier8_fixed_timeout__none__t8_loss70__run3__dc7d10db.json,dc7d10db,coding_task,3,tier8_fixed_timeout__none,t8_loss70,main_effect,0,0,0,70,,loss,,,True,3,0,326.86,241,5,4,True,0,0,0,heuristic,761,3
coding_task__tier8_fixed_timeout__none__t8_loss70__run4__d9d677ad.json,d9d677ad,coding_task,4,tier8_fixed_timeout__none,t8_loss70,main_effect,0,0,0,70,,loss,,,True,3,0,501.93,299,5,5,True,0,0,0,heuristic,967,3
coding_task__tier8_fixed_timeout__none__t8_loss70__run5__311b2753.json,311b2753,coding_task,5,tier8_fixed_timeout__none,t8_loss70,main_effect,0,0,0,70,,loss,,,True,3,0,539.39,358,5,5,True,0,0,0,heuristic,1199,3
