log_file,run_id,task_name,run_index,phase,scenario_name,scenario_type,delay_ms,requested_delay_ms,jitter_ms,loss_pct,bandwidth_kbit,main_effect_axis,match_id,side,success,rounds,reviewer_rejections,elapsed_seconds,total_tokens,quality_score,ground_truth_score,ground_truth_passed,retry_count,timeout_count,total_error_count,eval_mode,final_answer_length,n_messages
coding_task__tier8_ingress__both__t8in_baseline__run1__8a8c3908.json,8a8c3908,coding_task,1,tier8_ingress__both,t8in_baseline,ingress_subset,0,0,0,0,,,,,True,3,0,228.72,327,5,5,True,0,0,0,heuristic,1114,3
coding_task__tier8_ingress__both__t8in_baseline__run2__8e9cd6d1.json,8e9cd6d1,coding_task,2,tier8_ingress__both,t8in_baseline,ingress_subset,0,0,0,0,,,,,True,3,0,274.2,286,5,5,True,0,0,0,heuristic,908,3
coding_task__tier8_ingress__both__t8in_baseline__run3__a184d7d3.json,a184d7d3,coding_task,3,tier8_ingress__both,t8in_baseline,ingress_subset,0,0,0,0,,,,,True,3,0,139.51,289,5,5,True,0,0,0,heuristic,961,3
coding_task__tier8_ingress__both__t8in_baseline__run4__f0c46202.json,f0c46202,coding_task,4,tier8_ingress__both,t8in_baseline,ingress_subset,0,0,0,0,,,,,True,3,0,209.87,349,5,5,True,0,0,0,heuristic,1197,3
coding_task__tier8_ingress__both__t8in_baseline__run5__0331c965.json,0331c965,coding_task,5,tier8_ingress__both,t8in_baseline,ingress_subset,0,0,0,0,,,,,True,3,0,178.53,241,5,5,True,0,0,0,heuristic,768,3
coding_task__tier8_ingress__both__t8in_bw50__run1__52058015.json,52058015,coding_task,1,tier8_ingress__both,t8in_bw50,ingress_subset,0,0,0,0,50,,,,True,3,0,276.64,309,5,5,True,0,0,0,heuristic,1032,3
coding_task__tier8_ingress__both__t8in_bw50__run2__cd5c50cc.json,cd5c50cc,coding_task,2,tier8_ingress__both,t8in_bw50,ingress_subset,0,0,0,0,50,,,,True,3,0,211.98,250,5,5,True,0,0,0,heuristic,799,3
coding_task__tier8_ingress__both__t8in_bw50__run3__6de080f7.json,6de080f7,coding_task,3,tier8_ingress__both,t8in_bw50,ingress_subset,0,0,0,0,50,,,,True,3,0,244.92,217,5,5,True,0,0,0,heuristic,654,3
coding_task__tier8_ingress__both__t8in_bw50__run4__6981b1f7.json,6981b1f7,coding_task,4,tier8_ingress__both,t8in_bw50,ingress_subset,0,0,0,0,50,,,,True,3,0,198.62,247,5,5,True,0,0,0,heuristic,751,3
coding_task__tier8_ingress__both__t8in_bw50__run5__cd4da730.json,cd4da730,coding_task,5,tier8_ingress__both,t8in_bw50,ingress_subset,0,0,0,0,50,,,,True,3,0,211.79,314,5,5,True,0,0,0,heuristic,1059,3
coding_task__tier8_ingress__both__t8in_delay1000__run1__b1f8a0ce.json,b1f8a0ce,coding_task,1,tier8_ingress__both,t8in_delay1000,ingress_subset,1000,1000,0,0,,,,,True,3,0,239.24,315,5,5,True,0,0,0,heuristic,1022,3
coding_task__tier8_ingress__both__t8in_delay1000__run2__3618c8d7.json,3618c8d7,coding_task,2,tier8_ingress__both,t8in_delay1000,ingress_subset,1000,1000,0,0,,,,,True,3,0,208.55,290,5,5,True,0,0,0,heuristic,957,3
coding_task__tier8_ingress__both__t8in_delay1000__run3__f1399d8a.json,f1399d8a,coding_task,3,tier8_ingress__both,t8in_delay1000,ingress_subset,1000,1000,0,0,,,,,True,3,0,216.39,214,5,5,True,0,0,0,heuristic,637,3
coding_task__tier8_ingress__both__t8in_delay1000__run4__80e38dd0.json,80e38dd0,coding_task,4,tier8_ingress__both,t8in_delay1000,ingress_subset,1000,1000,0,0,,,,,True,3,0,203.06,247,5,5,True,0,0,0,heuristic,790,3
coding_task__tier8_ingress__both__t8in_delay1000__run5__306f98ba.json,306f98ba,coding_task,5,tier8_ingress__both,t8in_delay1000,ingress_subset,1000,1000,0,0,,,,,True,3,0,202.12,342,5,5,True,0,0,0,heuristic,1139,3
coding_task__tier8_ingress__both__t8in_loss75__run1__d43da98b.json,d43da98b,coding_task,1,tier8_ingress__both,t8in_loss75,ingress_subset,0,0,0,75,,,,,False,1,0,1254.84,105,,1,False,2,0,5,heuristic,0,3
coding_task__tier8_ingress__both__t8in_loss75__run2__a7f8ec55.json,a7f8ec55,coding_task,2,tier8_ingress__both,t8in_loss75,ingress_subset,0,0,0,75,,,,,False,1,0,1483.74,105,,1,False,2,0,5,heuristic,0,3
coding_task__tier8_ingress__both__t8in_loss75__run3__89d83fa6.json,89d83fa6,coding_task,3,tier8_ingress__both,t8in_loss75,ingress_subset,0,0,0,75,,,,,False,1,0,246.86,105,,1,False,2,0,5,heuristic,0,3
coding_task__tier8_ingress__both__t8in_loss75__run4__7100ffb9.json,7100ffb9,coding_task,4,tier8_ingress__both,t8in_loss75,ingress_subset,0,0,0,75,,,,,False,1,0,655.7,105,,1,False,2,0,5,heuristic,0,3
coding_task__tier8_ingress__both__t8in_loss75__run5__81e65768.json,81e65768,coding_task,5,tier8_ingress__both,t8in_loss75,ingress_subset,0,0,0,75,,,,,False,1,0,1535.0,105,,1,False,2,1,5,heuristic,0,3
data_analysis__tier8_ingress__both__t8in_baseline__run1__c7eb3c4e.json,c7eb3c4e,data_analysis,1,tier8_ingress__both,t8in_baseline,ingress_subset,0,0,0,0,,,,,True,3,0,250.86,549,5,5,True,0,0,0,heuristic,2003,3
data_analysis__tier8_ingress__both__t8in_baseline__run2__9955b9eb.json,9955b9eb,data_analysis,2,tier8_ingress__both,t8in_baseline,ingress_subset,0,0,0,0,,,,,True,3,0,217.6,501,5,5,True,0,0,0,heuristic,1788,3
data_analysis__tier8_ingress__both__t8in_baseline__run3__70593ab2.json,70593ab2,data_analysis,3,tier8_ingress__both,t8in_baseline,ingress_subset,0,0,0,0,,,,,True,3,0,168.86,543,5,5,True,0,0,0,heuristic,1949,3
data_analysis__tier8_ingress__both__t8in_baseline__run4__51111363.json,51111363,data_analysis,4,tier8_ingress__both,t8in_baseline,ingress_subset,0,0,0,0,,,,,True,3,0,206.44,671,5,5,True,0,0,0,heuristic,2459,3
data_analysis__tier8_ingress__both__t8in_baseline__run5__a59cc466.json,a59cc466,data_analysis,5,tier8_ingress__both,t8in_baseline,ingress_subset,0,0,0,0,,,,,True,3,0,177.07,514,5,5,True,0,0,0,heuristic,1832,3
data_analysis__tier8_ingress__both__t8in_bw50__run1__147129d4.json,147129d4,data_analysis,1,tier8_ingress__both,t8in_bw50,ingress_subset,0,0,0,0,50,,,,True,3,0,213.46,529,5,5,True,0,0,0,heuristic,1917,3
data_analysis__tier8_ingress__both__t8in_bw50__run2__27a67de0.json,27a67de0,data_analysis,2,tier8_ingress__both,t8in_bw50,ingress_subset,0,0,0,0,50,,,,True,3,0,151.08,437,5,5,True,0,0,0,heuristic,1535,3
data_analysis__tier8_ingress__both__t8in_bw50__run3__9d3b00ff.json,9d3b00ff,data_analysis,3,tier8_ingress__both,t8in_bw50,ingress_subset,0,0,0,0,50,,,,True,3,0,155.76,482,5,5,True,0,0,0,heuristic,1708,3
data_analysis__tier8_ingress__both__t8in_bw50__run4__623622b8.json,623622b8,data_analysis,4,tier8_ingress__both,t8in_bw50,ingress_subset,0,0,0,0,50,,,,True,3,0,221.23,570,5,5,True,0,0,0,heuristic,2064,3
data_analysis__tier8_ingress__both__t8in_bw50__run5__259d3d36.json,259d3d36,data_analysis,5,tier8_ingress__both,t8in_bw50,ingress_subset,0,0,0,0,50,,,,True,3,0,196.88,580,5,5,True,0,0,0,heuristic,2103,3
data_analysis__tier8_ingress__both__t8in_delay1000__run1__4c7493f7.json,4c7493f7,data_analysis,1,tier8_ingress__both,t8in_delay1000,ingress_subset,1000,1000,0,0,,,,,True,3,0,228.34,575,5,5,True,0,0,0,heuristic,2085,3
data_analysis__tier8_ingress__both__t8in_delay1000__run2__75467cf9.json,75467cf9,data_analysis,2,tier8_ingress__both,t8in_delay1000,ingress_subset,1000,1000,0,0,,,,,True,3,0,221.36,632,5,5,True,0,0,0,heuristic,2311,3
data_analysis__tier8_ingress__both__t8in_delay1000__run3__65bcc274.json,65bcc274,data_analysis,3,tier8_ingress__both,t8in_delay1000,ingress_subset,1000,1000,0,0,,,,,True,3,0,172.88,515,5,5,True,0,0,0,heuristic,1832,3
data_analysis__tier8_ingress__both__t8in_delay1000__run4__1ba2b669.json,1ba2b669,data_analysis,4,tier8_ingress__both,t8in_delay1000,ingress_subset,1000,1000,0,0,,,,,True,3,0,207.19,494,5,5,True,0,0,0,heuristic,1761,3
data_analysis__tier8_ingress__both__t8in_delay1000__run5__fceb0fe8.json,fceb0fe8,data_analysis,5,tier8_ingress__both,t8in_delay1000,ingress_subset,1000,1000,0,0,,,,,True,3,0,174.15,560,5,5,True,0,0,0,heuristic,2025,3
