log_file,run_id,task_name,run_index,phase,scenario_name,scenario_type,delay_ms,requested_delay_ms,jitter_ms,loss_pct,bandwidth_kbit,main_effect_axis,match_id,side,success,rounds,reviewer_rejections,elapsed_seconds,total_tokens,quality_score,ground_truth_score,ground_truth_passed,retry_count,timeout_count,total_error_count,eval_mode,final_answer_length,n_messages
coding_task__t8_jitter_floor_control__run1__bf1cbf57.json,bf1cbf57,coding_task,1,unknown,t8_jitter_floor_control,matched_control,50,0,0,0,,jitter_floor_control,,,True,3,0,189.4,334,5,5,True,0,0,0,heuristic,1137,3
coding_task__t8_jitter_floor_control__run2__d5efc4c6.json,d5efc4c6,coding_task,2,unknown,t8_jitter_floor_control,matched_control,50,0,0,0,,jitter_floor_control,,,True,3,0,216.79,286,5,5,True,0,0,0,heuristic,923,3
coding_task__t8_jitter_floor_control__run3__f248f704.json,f248f704,coding_task,3,unknown,t8_jitter_floor_control,matched_control,50,0,0,0,,jitter_floor_control,,,True,3,0,406.9,282,5,5,True,0,0,0,heuristic,926,3
coding_task__t8_jitter_floor_control__run4__4b7918fa.json,4b7918fa,coding_task,4,unknown,t8_jitter_floor_control,matched_control,50,0,0,0,,jitter_floor_control,,,True,3,0,157.0,203,5,5,True,0,0,0,heuristic,622,3
coding_task__t8_jitter_floor_control__run5__3d419d0d.json,3d419d0d,coding_task,5,unknown,t8_jitter_floor_control,matched_control,50,0,0,0,,jitter_floor_control,,,True,3,0,214.73,277,5,5,True,0,0,0,heuristic,904,3
data_analysis__t8_jitter_floor_control__run1__3096533f.json,3096533f,data_analysis,1,unknown,t8_jitter_floor_control,matched_control,50,0,0,0,,jitter_floor_control,,,True,3,0,140.69,531,5,5,True,0,0,0,heuristic,1904,3
data_analysis__t8_jitter_floor_control__run2__03e41a32.json,03e41a32,data_analysis,2,unknown,t8_jitter_floor_control,matched_control,50,0,0,0,,jitter_floor_control,,,True,3,0,182.57,574,4,5,True,0,0,0,heuristic,2054,3
data_analysis__t8_jitter_floor_control__run3__44f29fc1.json,44f29fc1,data_analysis,3,unknown,t8_jitter_floor_control,matched_control,50,0,0,0,,jitter_floor_control,,,True,3,0,213.86,648,5,5,True,0,0,0,heuristic,2379,3
data_analysis__t8_jitter_floor_control__run4__2e3cc63f.json,2e3cc63f,data_analysis,4,unknown,t8_jitter_floor_control,matched_control,50,0,0,0,,jitter_floor_control,,,True,3,0,141.15,459,5,5,True,0,0,0,heuristic,1611,3
data_analysis__t8_jitter_floor_control__run5__0995252f.json,0995252f,data_analysis,5,unknown,t8_jitter_floor_control,matched_control,50,0,0,0,,jitter_floor_control,,,True,3,0,167.31,593,5,5,True,0,0,0,heuristic,2147,3
planning_decision__t8_jitter_floor_control__run1__9225ebb8.json,9225ebb8,planning_decision,1,unknown,t8_jitter_floor_control,matched_control,50,0,0,0,,jitter_floor_control,,,True,3,0,113.33,265,5,5,True,0,0,0,heuristic,756,3
planning_decision__t8_jitter_floor_control__run2__5d1b18ce.json,5d1b18ce,planning_decision,2,unknown,t8_jitter_floor_control,matched_control,50,0,0,0,,jitter_floor_control,,,True,3,0,111.58,226,5,5,True,0,0,0,heuristic,670,3
planning_decision__t8_jitter_floor_control__run3__da25191c.json,da25191c,planning_decision,3,unknown,t8_jitter_floor_control,matched_control,50,0,0,0,,jitter_floor_control,,,True,3,0,115.67,259,5,5,True,0,0,0,heuristic,785,3
planning_decision__t8_jitter_floor_control__run4__61343124.json,61343124,planning_decision,4,unknown,t8_jitter_floor_control,matched_control,50,0,0,0,,jitter_floor_control,,,True,3,0,119.23,272,5,4,True,0,0,0,heuristic,859,3
planning_decision__t8_jitter_floor_control__run5__ea836dec.json,ea836dec,planning_decision,5,unknown,t8_jitter_floor_control,matched_control,50,0,0,0,,jitter_floor_control,,,True,3,0,136.13,265,5,5,True,0,0,0,heuristic,826,3
research_summary__t8_jitter_floor_control__run1__52e946d8.json,52e946d8,research_summary,1,unknown,t8_jitter_floor_control,matched_control,50,0,0,0,,jitter_floor_control,,,True,3,0,153.72,266,5,4,True,0,0,0,heuristic,869,3
research_summary__t8_jitter_floor_control__run2__582c74d3.json,582c74d3,research_summary,2,unknown,t8_jitter_floor_control,matched_control,50,0,0,0,,jitter_floor_control,,,True,3,0,164.29,233,5,5,True,0,0,0,heuristic,714,3
research_summary__t8_jitter_floor_control__run3__5d2d6323.json,5d2d6323,research_summary,3,unknown,t8_jitter_floor_control,matched_control,50,0,0,0,,jitter_floor_control,,,True,3,0,187.25,221,5,3,False,0,0,0,heuristic,693,3
research_summary__t8_jitter_floor_control__run4__18269760.json,18269760,research_summary,4,unknown,t8_jitter_floor_control,matched_control,50,0,0,0,,jitter_floor_control,,,True,3,0,142.27,252,5,3,False,0,0,0,heuristic,811,3
research_summary__t8_jitter_floor_control__run5__c3572d30.json,c3572d30,research_summary,5,unknown,t8_jitter_floor_control,matched_control,50,0,0,0,,jitter_floor_control,,,True,3,0,201.11,311,5,4,True,0,0,0,heuristic,1007,3
