log_file,run_id,task_name,run_index,phase,scenario_name,scenario_type,delay_ms,requested_delay_ms,jitter_ms,loss_pct,bandwidth_kbit,main_effect_axis,match_id,side,success,rounds,reviewer_rejections,elapsed_seconds,total_tokens,quality_score,ground_truth_score,ground_truth_passed,retry_count,timeout_count,total_error_count,eval_mode,final_answer_length,n_messages
coding_task__tier8_loss_loss0__run1__f0f27709.json,f0f27709,coding_task,1,unknown,tier8_loss_loss0,,0,0,0,0,,,,,True,3,0,175.28,270,5,5,True,0,0,0,heuristic,876,3
coding_task__tier8_loss_loss0__run2__29cc2472.json,29cc2472,coding_task,2,unknown,tier8_loss_loss0,,0,0,0,0,,,,,True,3,0,259.27,255,5,5,True,0,0,0,heuristic,819,3
coding_task__tier8_loss_loss0__run3__2c596451.json,2c596451,coding_task,3,unknown,tier8_loss_loss0,,0,0,0,0,,,,,True,3,0,253.63,282,5,5,True,0,0,0,heuristic,905,3
coding_task__tier8_loss_loss0__run4__7f36c298.json,7f36c298,coding_task,4,unknown,tier8_loss_loss0,,0,0,0,0,,,,,True,3,0,322.5,364,5,5,True,0,0,0,heuristic,1258,3
coding_task__tier8_loss_loss0__run5__afc507b7.json,afc507b7,coding_task,5,unknown,tier8_loss_loss0,,0,0,0,0,,,,,True,3,0,306.93,378,5,5,True,0,0,0,heuristic,1259,3
coding_task__tier8_loss_loss10__run1__005a72bf.json,005a72bf,coding_task,1,unknown,tier8_loss_loss10,,0,0,0,10,,,,,True,3,0,178.07,312,5,5,True,0,0,0,heuristic,1051,3
coding_task__tier8_loss_loss10__run2__c56806be.json,c56806be,coding_task,2,unknown,tier8_loss_loss10,,0,0,0,10,,,,,True,3,0,256.83,269,5,5,True,0,0,0,heuristic,876,3
coding_task__tier8_loss_loss10__run3__3404ecb2.json,3404ecb2,coding_task,3,unknown,tier8_loss_loss10,,0,0,0,10,,,,,True,3,0,395.84,330,5,5,True,0,0,0,heuristic,1069,3
coding_task__tier8_loss_loss10__run4__62b2788b.json,62b2788b,coding_task,4,unknown,tier8_loss_loss10,,0,0,0,10,,,,,True,3,0,180.41,271,5,4,True,0,0,0,heuristic,876,3
coding_task__tier8_loss_loss10__run5__ba88f8f5.json,ba88f8f5,coding_task,5,unknown,tier8_loss_loss10,,0,0,0,10,,,,,True,3,0,445.63,328,5,5,True,0,0,0,heuristic,1096,3
coding_task__tier8_loss_loss15__run1__a916f367.json,a916f367,coding_task,1,unknown,tier8_loss_loss15,,0,0,0,15,,,,,True,3,0,168.35,253,5,5,True,0,0,0,heuristic,810,3
coding_task__tier8_loss_loss15__run2__640ae84f.json,640ae84f,coding_task,2,unknown,tier8_loss_loss15,,0,0,0,15,,,,,True,3,0,173.81,312,5,5,True,0,0,0,heuristic,1048,3
coding_task__tier8_loss_loss15__run3__6bbd40e1.json,6bbd40e1,coding_task,3,unknown,tier8_loss_loss15,,0,0,0,15,,,,,True,3,0,217.85,304,5,5,True,0,0,0,heuristic,981,3
coding_task__tier8_loss_loss15__run4__70fa3598.json,70fa3598,coding_task,4,unknown,tier8_loss_loss15,,0,0,0,15,,,,,True,3,0,225.73,276,5,5,True,0,0,0,heuristic,893,3
coding_task__tier8_loss_loss15__run5__b5fe5804.json,b5fe5804,coding_task,5,unknown,tier8_loss_loss15,,0,0,0,15,,,,,True,3,0,248.32,331,5,5,True,0,0,0,heuristic,1136,3
coding_task__tier8_loss_loss1__run1__29ab3d9e.json,29ab3d9e,coding_task,1,unknown,tier8_loss_loss1,,0,0,0,1,,,,,True,3,0,238.98,257,5,5,True,0,0,0,heuristic,808,3
coding_task__tier8_loss_loss1__run2__cff0efb8.json,cff0efb8,coding_task,2,unknown,tier8_loss_loss1,,0,0,0,1,,,,,True,3,0,191.07,280,5,5,True,0,0,0,heuristic,904,3
coding_task__tier8_loss_loss1__run3__bb76fa43.json,bb76fa43,coding_task,3,unknown,tier8_loss_loss1,,0,0,0,1,,,,,True,3,0,272.32,263,5,5,True,0,0,0,heuristic,854,3
coding_task__tier8_loss_loss1__run4__c75a3c53.json,c75a3c53,coding_task,4,unknown,tier8_loss_loss1,,0,0,0,1,,,,,True,3,0,197.4,314,5,5,True,0,0,0,heuristic,1029,3
coding_task__tier8_loss_loss1__run5__a99a1ce7.json,a99a1ce7,coding_task,5,unknown,tier8_loss_loss1,,0,0,0,1,,,,,True,3,0,200.2,318,5,5,True,0,0,0,heuristic,1041,3
coding_task__tier8_loss_loss20__run1__b049a598.json,b049a598,coding_task,1,unknown,tier8_loss_loss20,,0,0,0,20,,,,,True,3,0,189.96,264,5,5,True,0,0,0,heuristic,852,3
coding_task__tier8_loss_loss20__run2__624e7126.json,624e7126,coding_task,2,unknown,tier8_loss_loss20,,0,0,0,20,,,,,True,3,0,254.46,257,5,5,True,0,0,0,heuristic,828,3
coding_task__tier8_loss_loss20__run3__92868a54.json,92868a54,coding_task,3,unknown,tier8_loss_loss20,,0,0,0,20,,,,,True,3,0,350.98,255,5,5,True,0,0,0,heuristic,820,3
coding_task__tier8_loss_loss20__run4__2d29bb2e.json,2d29bb2e,coding_task,4,unknown,tier8_loss_loss20,,0,0,0,20,,,,,True,3,0,250.99,270,5,5,True,0,0,0,heuristic,884,3
coding_task__tier8_loss_loss20__run5__e181faa7.json,e181faa7,coding_task,5,unknown,tier8_loss_loss20,,0,0,0,20,,,,,True,3,0,265.77,269,5,5,True,0,0,0,heuristic,876,3
coding_task__tier8_loss_loss25__run1__f3e79765.json,f3e79765,coding_task,1,unknown,tier8_loss_loss25,,0,0,0,25,,,,,True,3,0,213.96,320,5,5,True,0,0,0,heuristic,1045,3
coding_task__tier8_loss_loss25__run2__e4bf602d.json,e4bf602d,coding_task,2,unknown,tier8_loss_loss25,,0,0,0,25,,,,,True,3,0,439.85,593,5,5,True,0,0,2,heuristic,936,5
coding_task__tier8_loss_loss25__run3__ceba1ddf.json,ceba1ddf,coding_task,3,unknown,tier8_loss_loss25,,0,0,0,25,,,,,True,3,0,450.16,283,5,5,True,0,0,0,heuristic,933,3
coding_task__tier8_loss_loss25__run4__15d1f4d1.json,15d1f4d1,coding_task,4,unknown,tier8_loss_loss25,,0,0,0,25,,,,,True,3,0,264.63,319,5,5,True,0,0,2,heuristic,903,4
coding_task__tier8_loss_loss25__run5__4dde14f8.json,4dde14f8,coding_task,5,unknown,tier8_loss_loss25,,0,0,0,25,,,,,True,3,0,322.0,318,5,5,True,0,0,0,heuristic,1069,3
coding_task__tier8_loss_loss30__run1__5d27ab89.json,5d27ab89,coding_task,1,unknown,tier8_loss_loss30,,0,0,0,30,,,,,True,3,0,239.25,298,5,5,True,0,0,0,heuristic,952,3
coding_task__tier8_loss_loss30__run2__a9a80202.json,a9a80202,coding_task,2,unknown,tier8_loss_loss30,,0,0,0,30,,,,,True,3,0,402.07,209,5,5,True,0,0,0,heuristic,622,3
coding_task__tier8_loss_loss30__run3__2d079034.json,2d079034,coding_task,3,unknown,tier8_loss_loss30,,0,0,0,30,,,,,True,3,0,177.09,333,5,5,True,0,0,0,heuristic,1101,3
coding_task__tier8_loss_loss30__run4__b3df5347.json,b3df5347,coding_task,4,unknown,tier8_loss_loss30,,0,0,0,30,,,,,True,3,0,311.9,338,5,5,True,0,0,0,heuristic,1148,3
coding_task__tier8_loss_loss30__run5__312a891b.json,312a891b,coding_task,5,unknown,tier8_loss_loss30,,0,0,0,30,,,,,True,3,0,221.66,334,5,5,True,0,0,0,heuristic,1128,3
coding_task__tier8_loss_loss40__run1__c414a26b.json,c414a26b,coding_task,1,unknown,tier8_loss_loss40,,0,0,0,40,,,,,True,3,0,152.31,220,5,5,True,0,0,0,heuristic,689,3
coding_task__tier8_loss_loss40__run2__25b0a7d6.json,25b0a7d6,coding_task,2,unknown,tier8_loss_loss40,,0,0,0,40,,,,,True,3,0,245.39,313,5,5,True,0,0,0,heuristic,1050,3
coding_task__tier8_loss_loss40__run3__2ec7acfb.json,2ec7acfb,coding_task,3,unknown,tier8_loss_loss40,,0,0,0,40,,,,,True,3,0,216.85,256,5,4,True,0,0,0,heuristic,823,3
coding_task__tier8_loss_loss40__run4__8d9477dc.json,8d9477dc,coding_task,4,unknown,tier8_loss_loss40,,0,0,0,40,,,,,True,3,0,216.79,330,5,5,True,0,0,0,heuristic,1074,3
coding_task__tier8_loss_loss40__run5__24b16ca5.json,24b16ca5,coding_task,5,unknown,tier8_loss_loss40,,0,0,0,40,,,,,True,3,0,230.11,305,5,5,True,0,0,0,heuristic,1023,3
coding_task__tier8_loss_loss50__run1__47e46048.json,47e46048,coding_task,1,unknown,tier8_loss_loss50,,0,0,0,50,,,,,True,3,0,484.65,353,5,5,True,0,0,0,heuristic,1186,3
coding_task__tier8_loss_loss50__run2__6c311148.json,6c311148,coding_task,2,unknown,tier8_loss_loss50,,0,0,0,50,,,,,True,3,0,235.89,260,5,5,True,0,0,0,heuristic,844,3
coding_task__tier8_loss_loss50__run3__2b733ea4.json,2b733ea4,coding_task,3,unknown,tier8_loss_loss50,,0,0,0,50,,,,,True,3,0,236.44,254,5,5,True,0,0,0,heuristic,823,3
coding_task__tier8_loss_loss50__run4__86e7eff4.json,86e7eff4,coding_task,4,unknown,tier8_loss_loss50,,0,0,0,50,,,,,True,3,0,207.7,241,5,5,True,0,0,0,heuristic,743,3
coding_task__tier8_loss_loss50__run5__ee844787.json,ee844787,coding_task,5,unknown,tier8_loss_loss50,,0,0,0,50,,,,,True,3,0,190.45,342,5,5,True,0,0,0,heuristic,1106,3
coding_task__tier8_loss_loss5__run1__9dbe9edc.json,9dbe9edc,coding_task,1,unknown,tier8_loss_loss5,,0,0,0,5,,,,,True,3,0,354.23,350,5,5,True,0,0,0,heuristic,1200,3
coding_task__tier8_loss_loss5__run2__681d23ce.json,681d23ce,coding_task,2,unknown,tier8_loss_loss5,,0,0,0,5,,,,,True,3,0,193.78,265,5,5,True,0,0,0,heuristic,836,3
coding_task__tier8_loss_loss5__run3__76607d0c.json,76607d0c,coding_task,3,unknown,tier8_loss_loss5,,0,0,0,5,,,,,True,3,0,378.3,223,5,5,True,0,0,0,heuristic,678,3
coding_task__tier8_loss_loss5__run4__3b5240d0.json,3b5240d0,coding_task,4,unknown,tier8_loss_loss5,,0,0,0,5,,,,,True,3,0,210.17,347,5,5,True,0,0,0,heuristic,1184,3
coding_task__tier8_loss_loss5__run5__bf222d4b.json,bf222d4b,coding_task,5,unknown,tier8_loss_loss5,,0,0,0,5,,,,,True,3,0,219.36,275,5,5,True,0,0,0,heuristic,899,3
coding_task__tier8_loss_loss75__run1__109c30f8.json,109c30f8,coding_task,1,unknown,tier8_loss_loss75,,0,0,0,75,,,,,True,3,0,286.6,252,5,5,True,0,0,0,heuristic,793,3
coding_task__tier8_loss_loss75__run2__fe3c98f4.json,fe3c98f4,coding_task,2,unknown,tier8_loss_loss75,,0,0,0,75,,,,,True,3,0,576.39,332,5,5,True,0,0,0,heuristic,1097,3
coding_task__tier8_loss_loss75__run3__0e234469.json,0e234469,coding_task,3,unknown,tier8_loss_loss75,,0,0,0,75,,,,,True,3,0,282.29,261,5,5,True,0,0,0,heuristic,840,3
coding_task__tier8_loss_loss75__run4__4beccd85.json,4beccd85,coding_task,4,unknown,tier8_loss_loss75,,0,0,0,75,,,,,True,3,0,156.68,295,5,5,True,0,0,0,heuristic,979,3
coding_task__tier8_loss_loss75__run5__9e42376a.json,9e42376a,coding_task,5,unknown,tier8_loss_loss75,,0,0,0,75,,,,,True,3,0,672.48,345,5,5,True,0,0,0,heuristic,1175,3
data_analysis__tier8_loss_loss0__run1__b7848c94.json,b7848c94,data_analysis,1,unknown,tier8_loss_loss0,,0,0,0,0,,,,,True,3,0,130.9,426,5,5,True,0,0,0,heuristic,1491,3
data_analysis__tier8_loss_loss0__run2__caf3e307.json,caf3e307,data_analysis,2,unknown,tier8_loss_loss0,,0,0,0,0,,,,,True,3,0,169.96,430,5,4,True,0,0,0,heuristic,1506,3
data_analysis__tier8_loss_loss0__run3__86b46275.json,86b46275,data_analysis,3,unknown,tier8_loss_loss0,,0,0,0,0,,,,,True,3,0,205.56,672,5,5,True,0,0,0,heuristic,2460,3
data_analysis__tier8_loss_loss0__run4__b6a7d1f4.json,b6a7d1f4,data_analysis,4,unknown,tier8_loss_loss0,,0,0,0,0,,,,,True,3,0,226.12,576,5,5,True,0,0,0,heuristic,2085,3
data_analysis__tier8_loss_loss0__run5__6a749ed9.json,6a749ed9,data_analysis,5,unknown,tier8_loss_loss0,,0,0,0,0,,,,,True,3,0,173.69,516,5,5,True,0,0,0,heuristic,1844,3
data_analysis__tier8_loss_loss10__run1__599435f7.json,599435f7,data_analysis,1,unknown,tier8_loss_loss10,,0,0,0,10,,,,,True,3,0,202.45,598,5,5,True,0,0,0,heuristic,2176,3
data_analysis__tier8_loss_loss10__run2__b5a219f1.json,b5a219f1,data_analysis,2,unknown,tier8_loss_loss10,,0,0,0,10,,,,,True,3,0,177.55,520,5,5,True,0,0,0,heuristic,1857,3
data_analysis__tier8_loss_loss10__run3__670b26e9.json,670b26e9,data_analysis,3,unknown,tier8_loss_loss10,,0,0,0,10,,,,,True,3,0,193.44,500,5,5,True,0,0,0,heuristic,1787,3
data_analysis__tier8_loss_loss10__run4__becb741f.json,becb741f,data_analysis,4,unknown,tier8_loss_loss10,,0,0,0,10,,,,,True,3,0,168.19,474,5,5,True,0,0,0,heuristic,1675,3
data_analysis__tier8_loss_loss10__run5__2d56384e.json,2d56384e,data_analysis,5,unknown,tier8_loss_loss10,,0,0,0,10,,,,,True,3,0,196.64,565,5,5,True,0,0,0,heuristic,2040,3
data_analysis__tier8_loss_loss15__run1__6d265007.json,6d265007,data_analysis,1,unknown,tier8_loss_loss15,,0,0,0,15,,,,,True,3,0,174.11,573,5,5,True,0,0,0,heuristic,2060,3
data_analysis__tier8_loss_loss15__run2__5f98fe32.json,5f98fe32,data_analysis,2,unknown,tier8_loss_loss15,,0,0,0,15,,,,,True,3,0,220.06,532,5,5,True,0,0,0,heuristic,1915,3
data_analysis__tier8_loss_loss15__run3__8b49d9b6.json,8b49d9b6,data_analysis,3,unknown,tier8_loss_loss15,,0,0,0,15,,,,,True,3,0,205.06,657,5,5,True,0,0,0,heuristic,2408,3
data_analysis__tier8_loss_loss15__run4__f80d423a.json,f80d423a,data_analysis,4,unknown,tier8_loss_loss15,,0,0,0,15,,,,,True,3,0,195.64,440,5,5,True,0,0,0,heuristic,1547,3
data_analysis__tier8_loss_loss15__run5__96811fb0.json,96811fb0,data_analysis,5,unknown,tier8_loss_loss15,,0,0,0,15,,,,,True,3,0,175.4,563,5,5,True,0,0,0,heuristic,2034,3
data_analysis__tier8_loss_loss1__run1__c59b57e9.json,c59b57e9,data_analysis,1,unknown,tier8_loss_loss1,,0,0,0,1,,,,,True,3,0,164.53,498,5,5,True,0,0,0,heuristic,1756,3
data_analysis__tier8_loss_loss1__run2__e87c50a4.json,e87c50a4,data_analysis,2,unknown,tier8_loss_loss1,,0,0,0,1,,,,,True,3,0,205.91,534,5,5,True,0,0,0,heuristic,1939,3
data_analysis__tier8_loss_loss1__run3__ddf1ac73.json,ddf1ac73,data_analysis,3,unknown,tier8_loss_loss1,,0,0,0,1,,,,,True,3,0,201.69,583,5,5,True,0,0,0,heuristic,2107,3
data_analysis__tier8_loss_loss1__run4__eea46763.json,eea46763,data_analysis,4,unknown,tier8_loss_loss1,,0,0,0,1,,,,,True,3,0,188.03,445,5,5,True,0,0,0,heuristic,1565,3
data_analysis__tier8_loss_loss1__run5__2b763af6.json,2b763af6,data_analysis,5,unknown,tier8_loss_loss1,,0,0,0,1,,,,,True,3,0,162.21,490,5,5,True,0,0,0,heuristic,1728,3
data_analysis__tier8_loss_loss20__run1__3289fab2.json,3289fab2,data_analysis,1,unknown,tier8_loss_loss20,,0,0,0,20,,,,,True,3,0,194.74,539,5,5,True,0,0,0,heuristic,1936,3
data_analysis__tier8_loss_loss20__run2__a65bbc77.json,a65bbc77,data_analysis,2,unknown,tier8_loss_loss20,,0,0,0,20,,,,,True,3,0,246.29,483,5,5,True,0,0,0,heuristic,1715,3
data_analysis__tier8_loss_loss20__run3__26fb58f1.json,26fb58f1,data_analysis,3,unknown,tier8_loss_loss20,,0,0,0,20,,,,,True,3,0,174.4,405,5,5,True,0,0,0,heuristic,1414,3
data_analysis__tier8_loss_loss20__run4__b4aafdbc.json,b4aafdbc,data_analysis,4,unknown,tier8_loss_loss20,,0,0,0,20,,,,,True,3,0,217.3,478,5,5,True,0,0,0,heuristic,1700,3
data_analysis__tier8_loss_loss20__run5__e88cb3aa.json,e88cb3aa,data_analysis,5,unknown,tier8_loss_loss20,,0,0,0,20,,,,,True,3,0,146.41,522,5,5,True,0,0,0,heuristic,1870,3
data_analysis__tier8_loss_loss25__run1__4e62177e.json,4e62177e,data_analysis,1,unknown,tier8_loss_loss25,,0,0,0,25,,,,,True,3,0,182.02,546,5,5,True,0,0,0,heuristic,1965,3
data_analysis__tier8_loss_loss25__run2__238015c3.json,238015c3,data_analysis,2,unknown,tier8_loss_loss25,,0,0,0,25,,,,,True,3,0,205.08,650,5,5,True,0,0,0,heuristic,2375,3
data_analysis__tier8_loss_loss25__run3__35b39296.json,35b39296,data_analysis,3,unknown,tier8_loss_loss25,,0,0,0,25,,,,,True,3,0,193.12,648,5,5,True,0,0,0,heuristic,2360,3
data_analysis__tier8_loss_loss25__run4__d0d6dc24.json,d0d6dc24,data_analysis,4,unknown,tier8_loss_loss25,,0,0,0,25,,,,,True,3,0,184.68,628,5,5,True,0,0,0,heuristic,2296,3
data_analysis__tier8_loss_loss25__run5__f1ab6d73.json,f1ab6d73,data_analysis,5,unknown,tier8_loss_loss25,,0,0,0,25,,,,,True,3,0,184.07,612,5,5,True,0,0,0,heuristic,2229,3
data_analysis__tier8_loss_loss30__run1__e8b0cc2e.json,e8b0cc2e,data_analysis,1,unknown,tier8_loss_loss30,,0,0,0,30,,,,,True,3,0,238.62,458,5,5,True,0,0,0,heuristic,1623,3
data_analysis__tier8_loss_loss30__run2__127c4c94.json,127c4c94,data_analysis,2,unknown,tier8_loss_loss30,,0,0,0,30,,,,,True,3,0,181.37,587,5,5,True,0,0,0,heuristic,2117,3
data_analysis__tier8_loss_loss30__run3__54152c69.json,54152c69,data_analysis,3,unknown,tier8_loss_loss30,,0,0,0,30,,,,,True,3,0,154.54,488,5,5,True,0,0,0,heuristic,1708,3
