log_file,run_id,task_name,run_index,phase,scenario_name,scenario_type,delay_ms,requested_delay_ms,jitter_ms,loss_pct,bandwidth_kbit,main_effect_axis,match_id,side,success,rounds,reviewer_rejections,elapsed_seconds,total_tokens,quality_score,ground_truth_score,ground_truth_passed,retry_count,timeout_count,total_error_count,eval_mode,final_answer_length,n_messages
coding_task__tier8_loss_loss0__run1__cd3eb5fa.json,cd3eb5fa,coding_task,1,unknown,tier8_loss_loss0,,0,0,0,0,,,,,True,3,0,361.72,274,5,5,True,0,0,0,heuristic,878,3
coding_task__tier8_loss_loss0__run2__50d12e12.json,50d12e12,coding_task,2,unknown,tier8_loss_loss0,,0,0,0,0,,,,,True,3,0,211.16,217,5,5,True,0,0,0,heuristic,653,3
coding_task__tier8_loss_loss0__run3__64aeed7b.json,64aeed7b,coding_task,3,unknown,tier8_loss_loss0,,0,0,0,0,,,,,True,3,0,194.51,297,5,5,True,0,0,0,heuristic,993,3
coding_task__tier8_loss_loss0__run4__ad37c3e9.json,ad37c3e9,coding_task,4,unknown,tier8_loss_loss0,,0,0,0,0,,,,,True,3,0,160.59,306,5,5,True,0,0,0,heuristic,1007,3
coding_task__tier8_loss_loss0__run5__0221b96a.json,0221b96a,coding_task,5,unknown,tier8_loss_loss0,,0,0,0,0,,,,,True,3,0,191.3,219,5,4,True,0,0,0,heuristic,681,3
coding_task__tier8_loss_loss10__run1__3f5226ce.json,3f5226ce,coding_task,1,unknown,tier8_loss_loss10,,0,0,0,10,,,,,True,3,0,268.92,381,5,5,True,0,0,0,heuristic,1293,3
coding_task__tier8_loss_loss10__run2__304cb616.json,304cb616,coding_task,2,unknown,tier8_loss_loss10,,0,0,0,10,,,,,True,3,0,162.08,312,5,5,True,0,0,0,heuristic,1044,3
coding_task__tier8_loss_loss10__run3__bd9b4255.json,bd9b4255,coding_task,3,unknown,tier8_loss_loss10,,0,0,0,10,,,,,True,3,0,273.75,333,5,5,True,0,0,0,heuristic,1099,3
coding_task__tier8_loss_loss10__run4__804e4f71.json,804e4f71,coding_task,4,unknown,tier8_loss_loss10,,0,0,0,10,,,,,True,3,0,312.21,258,5,5,True,0,0,0,heuristic,830,3
coding_task__tier8_loss_loss10__run5__f4108c6d.json,f4108c6d,coding_task,5,unknown,tier8_loss_loss10,,0,0,0,10,,,,,True,3,0,264.37,338,5,5,True,0,0,0,heuristic,1124,3
coding_task__tier8_loss_loss15__run1__238d6859.json,238d6859,coding_task,1,unknown,tier8_loss_loss15,,0,0,0,15,,,,,True,3,0,360.01,303,5,5,True,0,0,0,heuristic,1011,3
coding_task__tier8_loss_loss15__run2__9e77b30f.json,9e77b30f,coding_task,2,unknown,tier8_loss_loss15,,0,0,0,15,,,,,True,3,0,235.38,323,5,5,True,0,0,0,heuristic,1065,3
coding_task__tier8_loss_loss15__run3__b2e11026.json,b2e11026,coding_task,3,unknown,tier8_loss_loss15,,0,0,0,15,,,,,True,3,0,240.66,339,5,5,True,0,0,0,heuristic,1147,3
coding_task__tier8_loss_loss15__run4__a9cb1254.json,a9cb1254,coding_task,4,unknown,tier8_loss_loss15,,0,0,0,15,,,,,True,3,0,276.24,319,5,5,True,0,0,0,heuristic,1074,3
coding_task__tier8_loss_loss15__run5__ae37e04c.json,ae37e04c,coding_task,5,unknown,tier8_loss_loss15,,0,0,0,15,,,,,True,3,0,434.16,322,5,5,True,0,0,0,heuristic,1034,3
coding_task__tier8_loss_loss1__run1__59090386.json,59090386,coding_task,1,unknown,tier8_loss_loss1,,0,0,0,1,,,,,True,3,0,272.29,251,5,5,True,0,0,0,heuristic,802,3
coding_task__tier8_loss_loss1__run2__232fdb18.json,232fdb18,coding_task,2,unknown,tier8_loss_loss1,,0,0,0,1,,,,,True,3,0,452.87,292,5,5,True,0,0,0,heuristic,975,3
coding_task__tier8_loss_loss1__run3__6da07c70.json,6da07c70,coding_task,3,unknown,tier8_loss_loss1,,0,0,0,1,,,,,True,3,0,398.99,332,5,5,True,0,0,0,heuristic,1131,3
coding_task__tier8_loss_loss1__run4__62b8a9f6.json,62b8a9f6,coding_task,4,unknown,tier8_loss_loss1,,0,0,0,1,,,,,True,3,0,436.53,325,5,5,True,0,0,0,heuristic,1052,3
coding_task__tier8_loss_loss1__run5__b82658c2.json,b82658c2,coding_task,5,unknown,tier8_loss_loss1,,0,0,0,1,,,,,True,3,0,188.48,315,5,5,True,0,0,0,heuristic,1062,3
coding_task__tier8_loss_loss20__run1__9d5b9ece.json,9d5b9ece,coding_task,1,unknown,tier8_loss_loss20,,0,0,0,20,,,,,True,3,0,270.34,280,5,5,True,0,0,0,heuristic,916,3
coding_task__tier8_loss_loss20__run2__5e9df28b.json,5e9df28b,coding_task,2,unknown,tier8_loss_loss20,,0,0,0,20,,,,,True,3,0,215.68,302,5,5,True,0,0,0,heuristic,1005,3
