log_file,run_id,task_name,run_index,phase,scenario_name,scenario_type,delay_ms,requested_delay_ms,jitter_ms,loss_pct,bandwidth_kbit,main_effect_axis,match_id,side,success,rounds,reviewer_rejections,elapsed_seconds,total_tokens,quality_score,ground_truth_score,ground_truth_passed,retry_count,timeout_count,total_error_count,eval_mode,final_answer_length,n_messages
coding_task__tier8_loss_loss0__run1__61add2d7.json,61add2d7,coding_task,1,unknown,tier8_loss_loss0,,0,0,0,0,,,,,True,3,0,173.76,268,5,5,True,0,0,0,heuristic,871,3
coding_task__tier8_loss_loss0__run2__c4ab7572.json,c4ab7572,coding_task,2,unknown,tier8_loss_loss0,,0,0,0,0,,,,,True,3,0,194.29,313,5,5,True,0,0,0,heuristic,1048,3
coding_task__tier8_loss_loss0__run3__64ed34c2.json,64ed34c2,coding_task,3,unknown,tier8_loss_loss0,,0,0,0,0,,,,,True,3,0,146.65,286,5,5,True,0,0,0,heuristic,947,3
coding_task__tier8_loss_loss0__run4__308f54eb.json,308f54eb,coding_task,4,unknown,tier8_loss_loss0,,0,0,0,0,,,,,True,3,0,167.68,301,5,5,True,0,0,0,heuristic,1004,3
coding_task__tier8_loss_loss0__run5__10d570e0.json,10d570e0,coding_task,5,unknown,tier8_loss_loss0,,0,0,0,0,,,,,True,3,0,271.23,314,5,5,True,0,0,0,heuristic,1070,3
coding_task__tier8_loss_loss10__run1__6b1dcaae.json,6b1dcaae,coding_task,1,unknown,tier8_loss_loss10,,0,0,0,10,,,,,True,3,0,236.86,285,5,5,True,0,0,0,heuristic,914,3
coding_task__tier8_loss_loss10__run2__e570c2c8.json,e570c2c8,coding_task,2,unknown,tier8_loss_loss10,,0,0,0,10,,,,,True,3,0,277.36,326,5,5,True,0,0,0,heuristic,1056,3
coding_task__tier8_loss_loss10__run3__b155d144.json,b155d144,coding_task,3,unknown,tier8_loss_loss10,,0,0,0,10,,,,,True,3,0,278.63,263,5,5,True,0,0,0,heuristic,851,3
coding_task__tier8_loss_loss10__run4__8b05c856.json,8b05c856,coding_task,4,unknown,tier8_loss_loss10,,0,0,0,10,,,,,True,3,0,249.44,280,5,5,True,0,0,0,heuristic,908,3
coding_task__tier8_loss_loss10__run5__8582d8a1.json,8582d8a1,coding_task,5,unknown,tier8_loss_loss10,,0,0,0,10,,,,,True,3,0,278.24,227,5,5,True,0,0,0,heuristic,709,3
coding_task__tier8_loss_loss15__run1__129c30e9.json,129c30e9,coding_task,1,unknown,tier8_loss_loss15,,0,0,0,15,,,,,True,3,0,176.69,271,5,5,True,0,0,0,heuristic,870,3
coding_task__tier8_loss_loss15__run2__56a6eed8.json,56a6eed8,coding_task,2,unknown,tier8_loss_loss15,,0,0,0,15,,,,,True,3,0,233.8,261,5,5,True,0,0,0,heuristic,831,3
coding_task__tier8_loss_loss15__run3__0f987600.json,0f987600,coding_task,3,unknown,tier8_loss_loss15,,0,0,0,15,,,,,True,3,0,268.3,335,5,5,True,0,0,0,heuristic,1144,3
coding_task__tier8_loss_loss15__run4__22a0f62e.json,22a0f62e,coding_task,4,unknown,tier8_loss_loss15,,0,0,0,15,,,,,True,3,0,258.41,283,5,5,True,0,0,0,heuristic,932,3
coding_task__tier8_loss_loss15__run5__76e9183a.json,76e9183a,coding_task,5,unknown,tier8_loss_loss15,,0,0,0,15,,,,,True,3,0,298.44,285,5,5,True,0,0,0,heuristic,911,3
