log_file,run_id,task_name,run_index,phase,scenario_name,scenario_type,delay_ms,requested_delay_ms,jitter_ms,loss_pct,bandwidth_kbit,main_effect_axis,match_id,side,success,rounds,reviewer_rejections,elapsed_seconds,total_tokens,quality_score,ground_truth_score,ground_truth_passed,retry_count,timeout_count,total_error_count,eval_mode,final_answer_length,n_messages
coding_task__tier9_critical_comparison__adaptive_timeout__t9_critical_loss80__run1__9be9f48f.json,9be9f48f,coding_task,1,tier9_critical_comparison__adaptive_timeout,t9_critical_loss80,critical_threshold_comparison,0,0,0,80,,,,,False,1,0,329.36,340,,1,False,2,2,5,heuristic,940,4
coding_task__tier9_critical_comparison__adaptive_timeout__t9_critical_loss80__run2__2a288cdf.json,2a288cdf,coding_task,2,tier9_critical_comparison__adaptive_timeout,t9_critical_loss80,critical_threshold_comparison,0,0,0,80,,,,,False,1,0,205.54,105,,1,False,2,1,5,heuristic,0,3
coding_task__tier9_critical_comparison__adaptive_timeout__t9_critical_loss80__run3__85a2e9c7.json,85a2e9c7,coding_task,3,tier9_critical_comparison__adaptive_timeout,t9_critical_loss80,critical_threshold_comparison,0,0,0,80,,,,,False,1,0,372.69,105,,1,False,2,3,5,heuristic,0,3
coding_task__tier9_critical_comparison__adaptive_timeout__t9_critical_loss80__run4__9dad8dd7.json,9dad8dd7,coding_task,4,tier9_critical_comparison__adaptive_timeout,t9_critical_loss80,critical_threshold_comparison,0,0,0,80,,,,,False,1,0,590.84,537,,1,False,2,3,5,heuristic,784,5
coding_task__tier9_critical_comparison__adaptive_timeout__t9_critical_loss80__run5__beb13e99.json,beb13e99,coding_task,5,tier9_critical_comparison__adaptive_timeout,t9_critical_loss80,critical_threshold_comparison,0,0,0,80,,,,,False,1,0,8.91,105,,1,False,2,0,5,heuristic,0,3
data_analysis__tier9_critical_comparison__adaptive_timeout__t9_critical_loss80__run1__16944e85.json,16944e85,data_analysis,1,tier9_critical_comparison__adaptive_timeout,t9_critical_loss80,critical_threshold_comparison,0,0,0,80,,,,,False,1,0,9.28,99,,1,False,2,0,5,heuristic,0,3
data_analysis__tier9_critical_comparison__adaptive_timeout__t9_critical_loss80__run2__501e77e2.json,501e77e2,data_analysis,2,tier9_critical_comparison__adaptive_timeout,t9_critical_loss80,critical_threshold_comparison,0,0,0,80,,,,,False,2,0,546.74,1088,,5,True,2,3,5,heuristic,1863,5
data_analysis__tier9_critical_comparison__adaptive_timeout__t9_critical_loss80__run3__80e3a7f0.json,80e3a7f0,data_analysis,3,tier9_critical_comparison__adaptive_timeout,t9_critical_loss80,critical_threshold_comparison,0,0,0,80,,,,,False,2,0,453.26,574,,5,True,2,3,5,heuristic,1901,4
data_analysis__tier9_critical_comparison__adaptive_timeout__t9_critical_loss80__run4__456e8405.json,456e8405,data_analysis,4,tier9_critical_comparison__adaptive_timeout,t9_critical_loss80,critical_threshold_comparison,0,0,0,80,,,,,False,1,0,127.28,99,,1,False,2,1,5,heuristic,0,3
data_analysis__tier9_critical_comparison__adaptive_timeout__t9_critical_loss80__run5__a428a8dc.json,a428a8dc,data_analysis,5,tier9_critical_comparison__adaptive_timeout,t9_critical_loss80,critical_threshold_comparison,0,0,0,80,,,,,True,3,0,335.53,536,5,4,True,1,1,4,heuristic,1732,5
planning_decision__tier9_critical_comparison__adaptive_timeout__t9_critical_loss80__run1__4672df98.json,4672df98,planning_decision,1,tier9_critical_comparison__adaptive_timeout,t9_critical_loss80,critical_threshold_comparison,0,0,0,80,,,,,False,1,0,411.16,309,,1,False,2,2,5,heuristic,732,4
