log_file,run_id,task_name,run_index,phase,scenario_name,scenario_type,delay_ms,requested_delay_ms,jitter_ms,loss_pct,bandwidth_kbit,main_effect_axis,match_id,side,success,rounds,reviewer_rejections,elapsed_seconds,total_tokens,quality_score,ground_truth_score,ground_truth_passed,retry_count,timeout_count,total_error_count,eval_mode,final_answer_length,n_messages
coding_task__tier9_critical_comparison__fixed_long_timeout__t9_critical_loss80__run1__3ee3c6c8.json,3ee3c6c8,coding_task,1,tier9_critical_comparison__fixed_long_timeout,t9_critical_loss80,critical_threshold_comparison,0,0,0,80,,,,,True,3,0,266.19,580,5,5,True,0,0,2,heuristic,816,5
coding_task__tier9_critical_comparison__fixed_long_timeout__t9_critical_loss80__run2__494b1cab.json,494b1cab,coding_task,2,tier9_critical_comparison__fixed_long_timeout,t9_critical_loss80,critical_threshold_comparison,0,0,0,80,,,,,True,3,0,98.29,346,5,5,True,1,0,4,heuristic,949,5
coding_task__tier9_critical_comparison__fixed_long_timeout__t9_critical_loss80__run3__e70567d8.json,e70567d8,coding_task,3,tier9_critical_comparison__fixed_long_timeout,t9_critical_loss80,critical_threshold_comparison,0,0,0,80,,,,,True,3,0,76.56,271,5,5,True,0,0,0,heuristic,930,3
coding_task__tier9_critical_comparison__fixed_long_timeout__t9_critical_loss80__run4__ac318a4e.json,ac318a4e,coding_task,4,tier9_critical_comparison__fixed_long_timeout,t9_critical_loss80,critical_threshold_comparison,0,0,0,80,,,,,True,3,0,99.1,279,5,5,True,0,0,0,heuristic,960,3
coding_task__tier9_critical_comparison__fixed_long_timeout__t9_critical_loss80__run5__efbe6956.json,efbe6956,coding_task,5,tier9_critical_comparison__fixed_long_timeout,t9_critical_loss80,critical_threshold_comparison,0,0,0,80,,,,,True,3,0,460.46,749,5,4,True,1,2,4,heuristic,749,7
data_analysis__tier9_critical_comparison__fixed_long_timeout__t9_critical_loss80__run1__9e8abf6a.json,9e8abf6a,data_analysis,1,tier9_critical_comparison__fixed_long_timeout,t9_critical_loss80,critical_threshold_comparison,0,0,0,80,,,,,False,1,0,478.22,524,,1,False,2,3,5,heuristic,1700,4
data_analysis__tier9_critical_comparison__fixed_long_timeout__t9_critical_loss80__run2__76c198fc.json,76c198fc,data_analysis,2,tier9_critical_comparison__fixed_long_timeout,t9_critical_loss80,critical_threshold_comparison,0,0,0,80,,,,,True,3,0,475.97,1190,5,5,True,1,2,4,heuristic,2058,6
data_analysis__tier9_critical_comparison__fixed_long_timeout__t9_critical_loss80__run3__7b46361f.json,7b46361f,data_analysis,3,tier9_critical_comparison__fixed_long_timeout,t9_critical_loss80,critical_threshold_comparison,0,0,0,80,,,,,False,1,0,439.81,528,,1,False,2,3,5,heuristic,1718,4
data_analysis__tier9_critical_comparison__fixed_long_timeout__t9_critical_loss80__run4__0c2390f0.json,0c2390f0,data_analysis,4,tier9_critical_comparison__fixed_long_timeout,t9_critical_loss80,critical_threshold_comparison,0,0,0,80,,,,,False,1,0,418.91,614,,1,False,2,2,5,heuristic,2063,4
data_analysis__tier9_critical_comparison__fixed_long_timeout__t9_critical_loss80__run5__1fa68799.json,1fa68799,data_analysis,5,tier9_critical_comparison__fixed_long_timeout,t9_critical_loss80,critical_threshold_comparison,0,0,0,80,,,,,True,3,0,243.52,578,5,5,True,0,1,2,heuristic,1963,4
planning_decision__tier9_critical_comparison__fixed_long_timeout__t9_critical_loss80__run1__076f66e9.json,076f66e9,planning_decision,1,tier9_critical_comparison__fixed_long_timeout,t9_critical_loss80,critical_threshold_comparison,0,0,0,80,,,,,False,1,0,507.98,258,,1,False,2,2,5,heuristic,531,4
planning_decision__tier9_critical_comparison__fixed_long_timeout__t9_critical_loss80__run2__702048df.json,702048df,planning_decision,2,tier9_critical_comparison__fixed_long_timeout,t9_critical_loss80,critical_threshold_comparison,0,0,0,80,,,,,False,1,0,247.37,126,,1,False,2,2,5,heuristic,0,3
planning_decision__tier9_critical_comparison__fixed_long_timeout__t9_critical_loss80__run3__33dd6ba7.json,33dd6ba7,planning_decision,3,tier9_critical_comparison__fixed_long_timeout,t9_critical_loss80,critical_threshold_comparison,0,0,0,80,,,,,True,3,0,31.65,120,5,4,True,0,0,0,heuristic,297,3
planning_decision__tier9_critical_comparison__fixed_long_timeout__t9_critical_loss80__run4__448407d1.json,448407d1,planning_decision,4,tier9_critical_comparison__fixed_long_timeout,t9_critical_loss80,critical_threshold_comparison,0,0,0,80,,,,,True,3,0,80.43,195,5,4,True,0,0,0,heuristic,597,3
planning_decision__tier9_critical_comparison__fixed_long_timeout__t9_critical_loss80__run5__4a9554a9.json,4a9554a9,planning_decision,5,tier9_critical_comparison__fixed_long_timeout,t9_critical_loss80,critical_threshold_comparison,0,0,0,80,,,,,False,1,0,404.29,275,,1,False,2,3,5,heuristic,597,4
research_summary__tier9_critical_comparison__fixed_long_timeout__t9_critical_loss80__run1__2828b1ea.json,2828b1ea,research_summary,1,tier9_critical_comparison__fixed_long_timeout,t9_critical_loss80,critical_threshold_comparison,0,0,0,80,,,,,True,3,0,60.24,210,5,2,False,0,0,0,heuristic,667,3
research_summary__tier9_critical_comparison__fixed_long_timeout__t9_critical_loss80__run2__77e367d7.json,77e367d7,research_summary,2,tier9_critical_comparison__fixed_long_timeout,t9_critical_loss80,critical_threshold_comparison,0,0,0,80,,,,,True,3,0,59.14,171,4,4,True,0,0,0,heuristic,536,3
