log_file,run_id,task_name,run_index,phase,scenario_name,scenario_type,delay_ms,requested_delay_ms,jitter_ms,loss_pct,bandwidth_kbit,main_effect_axis,match_id,side,success,rounds,reviewer_rejections,elapsed_seconds,total_tokens,quality_score,ground_truth_score,ground_truth_passed,retry_count,timeout_count,total_error_count,eval_mode,final_answer_length,n_messages
coding_task__tier9_critical_comparison__none__t9_critical_loss80__run1__d4554832.json,d4554832,coding_task,1,tier9_critical_comparison__none,t9_critical_loss80,critical_threshold_comparison,0,0,0,80,,,,,False,2,0,368.1,770,,5,True,2,2,5,heuristic,1004,6
coding_task__tier9_critical_comparison__none__t9_critical_loss80__run2__156fd769.json,156fd769,coding_task,2,tier9_critical_comparison__none,t9_critical_loss80,critical_threshold_comparison,0,0,0,80,,,,,False,1,0,518.3,487,,1,False,2,3,5,heuristic,867,5
coding_task__tier9_critical_comparison__none__t9_critical_loss80__run3__f9f668bf.json,f9f668bf,coding_task,3,tier9_critical_comparison__none,t9_critical_loss80,critical_threshold_comparison,0,0,0,80,,,,,True,3,0,150.75,258,5,5,True,0,0,0,heuristic,876,3
coding_task__tier9_critical_comparison__none__t9_critical_loss80__run4__8eb0c5af.json,8eb0c5af,coding_task,4,tier9_critical_comparison__none,t9_critical_loss80,critical_threshold_comparison,0,0,0,80,,,,,False,2,0,459.7,532,,5,True,2,3,5,heuristic,997,5
coding_task__tier9_critical_comparison__none__t9_critical_loss80__run5__2c7d7f2a.json,2c7d7f2a,coding_task,5,tier9_critical_comparison__none,t9_critical_loss80,critical_threshold_comparison,0,0,0,80,,,,,False,1,0,163.59,105,,1,False,2,1,5,heuristic,0,3
data_analysis__tier9_critical_comparison__none__t9_critical_loss80__run1__a4ab0345.json,a4ab0345,data_analysis,1,tier9_critical_comparison__none,t9_critical_loss80,critical_threshold_comparison,0,0,0,80,,,,,False,1,0,248.31,99,,1,False,2,2,5,heuristic,0,3
data_analysis__tier9_critical_comparison__none__t9_critical_loss80__run2__f7f3e771.json,f7f3e771,data_analysis,2,tier9_critical_comparison__none,t9_critical_loss80,critical_threshold_comparison,0,0,0,80,,,,,True,3,0,109.14,478,5,5,True,0,0,0,heuristic,1716,3
data_analysis__tier9_critical_comparison__none__t9_critical_loss80__run3__9c220818.json,9c220818,data_analysis,3,tier9_critical_comparison__none,t9_critical_loss80,critical_threshold_comparison,0,0,0,80,,,,,True,3,0,212.24,599,5,5,True,1,0,4,heuristic,1931,5
data_analysis__tier9_critical_comparison__none__t9_critical_loss80__run4__9552f854.json,9552f854,data_analysis,4,tier9_critical_comparison__none,t9_critical_loss80,critical_threshold_comparison,0,0,0,80,,,,,False,1,0,245.38,99,,1,False,2,2,5,heuristic,0,3
data_analysis__tier9_critical_comparison__none__t9_critical_loss80__run5__0c0be276.json,0c0be276,data_analysis,5,tier9_critical_comparison__none,t9_critical_loss80,critical_threshold_comparison,0,0,0,80,,,,,False,1,0,598.23,974,,1,False,2,3,5,heuristic,2047,5
planning_decision__tier9_critical_comparison__none__t9_critical_loss80__run1__eb0473c8.json,eb0473c8,planning_decision,1,tier9_critical_comparison__none,t9_critical_loss80,critical_threshold_comparison,0,0,0,80,,,,,True,3,0,199.12,245,5,4,True,0,1,2,heuristic,628,4
planning_decision__tier9_critical_comparison__none__t9_critical_loss80__run2__fc5e875e.json,fc5e875e,planning_decision,2,tier9_critical_comparison__none,t9_critical_loss80,critical_threshold_comparison,0,0,0,80,,,,,False,1,0,279.44,289,,1,False,2,2,5,heuristic,653,4
planning_decision__tier9_critical_comparison__none__t9_critical_loss80__run3__13d31c3c.json,13d31c3c,planning_decision,3,tier9_critical_comparison__none,t9_critical_loss80,critical_threshold_comparison,0,0,0,80,,,,,False,1,0,439.9,126,,1,False,2,3,5,heuristic,0,3
planning_decision__tier9_critical_comparison__none__t9_critical_loss80__run4__8541d280.json,8541d280,planning_decision,4,tier9_critical_comparison__none,t9_critical_loss80,critical_threshold_comparison,0,0,0,80,,,,,False,2,0,332.1,487,,4,True,2,2,5,heuristic,739,5
planning_decision__tier9_critical_comparison__none__t9_critical_loss80__run5__2a79361e.json,2a79361e,planning_decision,5,tier9_critical_comparison__none,t9_critical_loss80,critical_threshold_comparison,0,0,0,80,,,,,False,1,0,366.55,126,,1,False,2,3,5,heuristic,0,3
research_summary__tier9_critical_comparison__none__t9_critical_loss80__run1__166e3927.json,166e3927,research_summary,1,tier9_critical_comparison__none,t9_critical_loss80,critical_threshold_comparison,0,0,0,80,,,,,True,3,0,262.92,237,4,2,False,0,1,2,heuristic,671,4
research_summary__tier9_critical_comparison__none__t9_critical_loss80__run2__7a66754d.json,7a66754d,research_summary,2,tier9_critical_comparison__none,t9_critical_loss80,critical_threshold_comparison,0,0,0,80,,,,,False,2,0,447.33,403,,2,False,2,3,5,heuristic,595,5
research_summary__tier9_critical_comparison__none__t9_critical_loss80__run3__9f145c9b.json,9f145c9b,research_summary,3,tier9_critical_comparison__none,t9_critical_loss80,critical_threshold_comparison,0,0,0,80,,,,,False,2,0,195.92,263,,2,False,2,1,5,heuristic,656,4
research_summary__tier9_critical_comparison__none__t9_critical_loss80__run4__a9d0f99d.json,a9d0f99d,research_summary,4,tier9_critical_comparison__none,t9_critical_loss80,critical_threshold_comparison,0,0,0,80,,,,,False,1,0,455.52,283,,1,False,2,3,6,heuristic,627,5
research_summary__tier9_critical_comparison__none__t9_critical_loss80__run5__4af9ad83.json,4af9ad83,research_summary,5,tier9_critical_comparison__none,t9_critical_loss80,critical_threshold_comparison,0,0,0,80,,,,,False,1,0,133.43,99,,1,False,2,1,5,heuristic,0,3
