log_file,run_id,task_name,run_index,phase,scenario_name,scenario_type,delay_ms,requested_delay_ms,jitter_ms,loss_pct,bandwidth_kbit,main_effect_axis,match_id,side,success,rounds,reviewer_rejections,elapsed_seconds,total_tokens,quality_score,ground_truth_score,ground_truth_passed,retry_count,timeout_count,total_error_count,eval_mode,final_answer_length,n_messages
coding_task__tier9_exploratory_scan__t9_scan_loss80__run1__a59e41df.json,a59e41df,coding_task,1,tier9_exploratory_scan,t9_scan_loss80,critical_threshold_scan,0,0,0,80,,,,,False,1,0,162.27,341,,1,False,2,1,5,heuristic,947,4
coding_task__tier9_exploratory_scan__t9_scan_loss80__run2__4ab67bb5.json,4ab67bb5,coding_task,2,tier9_exploratory_scan,t9_scan_loss80,critical_threshold_scan,0,0,0,80,,,,,False,1,0,9.24,105,,1,False,2,0,5,heuristic,0,3
coding_task__tier9_exploratory_scan__t9_scan_loss80__run3__d9071571.json,d9071571,coding_task,3,tier9_exploratory_scan,t9_scan_loss80,critical_threshold_scan,0,0,0,80,,,,,True,3,0,71.43,240,5,4,True,0,0,2,heuristic,665,4
coding_task__tier9_exploratory_scan__t9_scan_loss85__run1__7503e577.json,7503e577,coding_task,1,tier9_exploratory_scan,t9_scan_loss85,critical_threshold_scan,0,0,0,85,,,,,False,1,0,431.93,253,,1,False,2,3,5,heuristic,594,4
coding_task__tier9_exploratory_scan__t9_scan_loss85__run2__ba3eee78.json,ba3eee78,coding_task,2,tier9_exploratory_scan,t9_scan_loss85,critical_threshold_scan,0,0,0,85,,,,,False,2,0,290.16,381,,5,True,2,2,5,heuristic,1104,4
coding_task__tier9_exploratory_scan__t9_scan_loss85__run3__ea83e5a9.json,ea83e5a9,coding_task,3,tier9_exploratory_scan,t9_scan_loss85,critical_threshold_scan,0,0,0,85,,,,,True,3,0,66.78,282,5,5,True,0,0,0,heuristic,972,3
coding_task__tier9_exploratory_scan__t9_scan_loss90__run1__46dbdbc3.json,46dbdbc3,coding_task,1,tier9_exploratory_scan,t9_scan_loss90,critical_threshold_scan,0,0,0,90,,,,,False,1,0,88.39,105,,1,False,2,0,5,heuristic,0,3
coding_task__tier9_exploratory_scan__t9_scan_loss90__run2__438bae78.json,438bae78,coding_task,2,tier9_exploratory_scan,t9_scan_loss90,critical_threshold_scan,0,0,0,90,,,,,False,1,0,236.62,293,,1,False,2,1,5,heuristic,753,4
coding_task__tier9_exploratory_scan__t9_scan_loss90__run3__21615c50.json,21615c50,coding_task,3,tier9_exploratory_scan,t9_scan_loss90,critical_threshold_scan,0,0,0,90,,,,,False,1,0,144.22,105,,1,False,2,1,5,heuristic,0,3
coding_task__tier9_exploratory_scan__t9_scan_loss95__run1__cd5447e5.json,cd5447e5,coding_task,1,tier9_exploratory_scan,t9_scan_loss95,critical_threshold_scan,0,0,0,95,,,,,False,1,0,9.23,105,,1,False,2,0,5,heuristic,0,3
coding_task__tier9_exploratory_scan__t9_scan_loss95__run2__4d06f73b.json,4d06f73b,coding_task,2,tier9_exploratory_scan,t9_scan_loss95,critical_threshold_scan,0,0,0,95,,,,,False,1,0,77.59,105,,1,False,2,0,5,heuristic,0,3
coding_task__tier9_exploratory_scan__t9_scan_loss95__run3__8d2101a4.json,8d2101a4,coding_task,3,tier9_exploratory_scan,t9_scan_loss95,critical_threshold_scan,0,0,0,95,,,,,False,1,0,9.24,105,,1,False,2,0,5,heuristic,0,3
coding_task__tier9_exploratory_scan__t9_scan_loss99__run1__9a01b201.json,9a01b201,coding_task,1,tier9_exploratory_scan,t9_scan_loss99,critical_threshold_scan,0,0,0,99,,,,,False,1,0,9.26,105,,1,False,2,0,5,heuristic,0,3
coding_task__tier9_exploratory_scan__t9_scan_loss99__run2__84a8de58.json,84a8de58,coding_task,2,tier9_exploratory_scan,t9_scan_loss99,critical_threshold_scan,0,0,0,99,,,,,False,1,0,9.24,105,,1,False,2,0,5,heuristic,0,3
