log_file,log_dir,task_name,scenario,loss_pct,error_type,attributed_agent,source
coding_task__tier5_mitigation__none__tier5_loss_loss0__run2__7f745720.json,../../Tier5_Mitigation/logs_tier5_none,coding_task,tier5_loss_loss0,0,timeout,Worker,inferred
coding_task__tier5_mitigation__none__tier5_loss_loss75__run1__8a381d3d.json,../../Tier5_Mitigation/logs_tier5_none,coding_task,tier5_loss_loss75,75,timeout,Worker,inferred
data_analysis__tier5_mitigation__none__tier5_loss_loss75__run3__99b51152.json,../../Tier5_Mitigation/logs_tier5_none,data_analysis,tier5_loss_loss75,75,timeout,Worker,inferred
data_analysis__tier5_mitigation__none__tier5_loss_loss75__run4__ae9dbae2.json,../../Tier5_Mitigation/logs_tier5_none,data_analysis,tier5_loss_loss75,75,timeout,Worker,inferred
data_analysis__tier5_mitigation__none__tier5_loss_loss75__run4__ae9dbae2.json,../../Tier5_Mitigation/logs_tier5_none,data_analysis,tier5_loss_loss75,75,timeout,Reviewer,inferred
planning_decision__tier5_mitigation__none__tier5_loss_loss75__run1__15aabbba.json,../../Tier5_Mitigation/logs_tier5_none,planning_decision,tier5_loss_loss75,75,timeout,Planner,inferred
planning_decision__tier5_mitigation__none__tier5_loss_loss75__run1__15aabbba.json,../../Tier5_Mitigation/logs_tier5_none,planning_decision,tier5_loss_loss75,75,timeout,Reviewer,inferred
planning_decision__tier5_mitigation__none__tier5_loss_loss75__run3__56b39a10.json,../../Tier5_Mitigation/logs_tier5_none,planning_decision,tier5_loss_loss75,75,timeout,Worker,inferred
planning_decision__tier5_mitigation__none__tier5_loss_loss75__run3__56b39a10.json,../../Tier5_Mitigation/logs_tier5_none,planning_decision,tier5_loss_loss75,75,timeout,Worker,inferred
planning_decision__tier5_mitigation__none__tier5_loss_loss75__run4__d7a2a91b.json,../../Tier5_Mitigation/logs_tier5_none,planning_decision,tier5_loss_loss75,75,timeout,Reviewer,inferred
planning_decision__tier5_mitigation__none__tier5_loss_loss75__run5__2b326378.json,../../Tier5_Mitigation/logs_tier5_none,planning_decision,tier5_loss_loss75,75,timeout,Worker,inferred
planning_decision__tier5_mitigation__none__tier5_loss_loss75__run5__2b326378.json,../../Tier5_Mitigation/logs_tier5_none,planning_decision,tier5_loss_loss75,75,timeout,Worker,inferred
research_summary__tier5_mitigation__none__tier5_loss_loss75__run1__de8e4632.json,../../Tier5_Mitigation/logs_tier5_none,research_summary,tier5_loss_loss75,75,timeout,Worker,inferred
research_summary__tier5_mitigation__none__tier5_loss_loss75__run3__1479d30f.json,../../Tier5_Mitigation/logs_tier5_none,research_summary,tier5_loss_loss75,75,timeout,Worker,inferred
coding_task__tier5_mitigation__context_cache__tier5_loss_loss50__run3__14a7ace8.json,../../Tier5_Mitigation/logs_tier5_context_cache,coding_task,tier5_loss_loss50,50,timeout,Worker,inferred
coding_task__tier5_mitigation__context_cache__tier5_loss_loss75__run1__34c3ff3d.json,../../Tier5_Mitigation/logs_tier5_context_cache,coding_task,tier5_loss_loss75,75,timeout,Reviewer,inferred
coding_task__tier5_mitigation__context_cache__tier5_loss_loss75__run1__34c3ff3d.json,../../Tier5_Mitigation/logs_tier5_context_cache,coding_task,tier5_loss_loss75,75,timeout,Reviewer,inferred
coding_task__tier5_mitigation__context_cache__tier5_loss_loss75__run1__34c3ff3d.json,../../Tier5_Mitigation/logs_tier5_context_cache,coding_task,tier5_loss_loss75,75,timeout,Reviewer,inferred
coding_task__tier5_mitigation__context_cache__tier5_loss_loss75__run4__2cbeff82.json,../../Tier5_Mitigation/logs_tier5_context_cache,coding_task,tier5_loss_loss75,75,timeout,Worker,inferred
data_analysis__tier5_mitigation__context_cache__tier5_loss_loss50__run3__2265f0d5.json,../../Tier5_Mitigation/logs_tier5_context_cache,data_analysis,tier5_loss_loss50,50,timeout,Worker,inferred
data_analysis__tier5_mitigation__context_cache__tier5_loss_loss75__run1__591563c3.json,../../Tier5_Mitigation/logs_tier5_context_cache,data_analysis,tier5_loss_loss75,75,timeout,Reviewer,inferred
data_analysis__tier5_mitigation__context_cache__tier5_loss_loss75__run3__c934f7f7.json,../../Tier5_Mitigation/logs_tier5_context_cache,data_analysis,tier5_loss_loss75,75,timeout,Worker,inferred
data_analysis__tier5_mitigation__context_cache__tier5_loss_loss75__run3__c934f7f7.json,../../Tier5_Mitigation/logs_tier5_context_cache,data_analysis,tier5_loss_loss75,75,timeout,Reviewer,inferred
