main_effect_axis,requested_delay_ms,loss_pct,jitter_ms,n_total,n_valid,invalid_count,success_rate,quality_mean,ground_truth_mean,ground_truth_pass_rate,elapsed_mean,elapsed_sd,tokens_mean,retry_mean,timeout_rate,reviewer_rejection_mean,zone
delay,0,0,0,20,20,0,1.0,5,4.7,0.95,117.459,52.65,357.35,0,0.0,0,safe
delay,50,0,0,20,20,0,1.0,5,4.55,0.8,123.699,45.895,344.95,0,0.0,0,warning
delay,100,0,0,20,20,0,1.0,4.95,4.65,0.95,127.76,57.825,354.9,0,0.0,0,safe
delay,150,0,0,20,20,0,1.0,4.95,4.65,1.0,118.538,54.667,350.4,0,0.0,0,safe
delay,200,0,0,20,20,0,1.0,4.95,4.7,0.9,154.966,91.146,356.35,0,0.0,0,safe
delay,250,0,0,20,20,0,0.95,4.947,4.55,0.9,217.511,267.959,379,0.1,0.1,0.05,warning
delay,300,0,0,20,20,0,1.0,4.95,4.5,0.85,119.115,45.332,357.35,0,0.0,0,warning
delay,350,0,0,20,20,0,1.0,5,4.75,0.95,109.492,43.657,355.2,0,0.0,0,safe
delay,400,0,0,20,20,0,1.0,5,4.85,0.95,112.676,42.516,355.2,0,0.0,0,safe
delay,450,0,0,20,20,0,1.0,5,4.6,0.9,117.797,43.908,341.2,0,0.0,0,safe
delay,500,0,0,20,20,0,1.0,4.95,4.8,1.0,140.68,144.611,372.25,0,0.05,0,safe
delay,550,0,0,20,20,0,1.0,5,4.7,1.0,110.108,35.908,358.1,0,0.0,0,safe
delay,600,0,0,20,20,0,1.0,4.9,4.6,0.95,108.335,31.349,345.1,0,0.0,0,safe
delay,650,0,0,20,20,0,1.0,5,4.65,0.95,131.12,60.564,358.4,0,0.0,0,safe
delay,700,0,0,20,20,0,1.0,4.95,4.65,0.95,146.588,106.476,340.55,0,0.0,0.05,safe
delay,750,0,0,20,20,0,1.0,4.95,4.75,0.95,125.987,60.704,343.1,0,0.0,0,safe
delay,800,0,0,20,20,0,1.0,5,4.65,0.95,117.326,58.926,347.4,0,0.0,0,safe
delay,850,0,0,20,20,0,1.0,4.95,4.45,0.9,131.873,108.631,341.55,0,0.05,0,safe
delay,900,0,0,20,20,0,1.0,4.95,4.45,0.8,126.318,72.361,351.3,0,0.0,0.05,warning
delay,950,0,0,20,20,0,1.0,5,4.8,1.0,112.294,40.741,342.2,0,0.0,0,safe
delay,1000,0,0,20,20,0,1.0,5,4.55,0.85,114.843,37.76,360.45,0,0.0,0,warning
jitter,0,0,0,20,20,0,1.0,5,4.8,0.95,106.428,48.345,353.65,0,0.0,0,safe
jitter,0,0,1,20,20,0,1.0,4.9,4.85,1.0,115.633,45.396,352.15,0,0.0,0,safe
jitter,0,0,5,20,20,0,1.0,4.95,4.45,0.85,129.385,83.054,353.35,0,0.0,0.05,warning
jitter,0,0,10,20,20,0,1.0,5,4.55,0.9,106.035,25.645,340.75,0,0.0,0,safe
jitter,0,0,15,20,20,0,1.0,5,4.6,0.85,124.88,58.385,352.15,0,0.0,0.05,warning
jitter,0,0,20,20,20,0,1.0,4.95,4.7,0.95,143.536,113.793,347.85,0,0.05,0,safe
jitter,0,0,25,20,20,0,1.0,5,4.6,0.9,119.573,66.258,332.8,0,0.0,0,safe
jitter,0,0,30,20,20,0,1.0,5,4.6,0.85,130.37,68.469,326.85,0,0.0,0,warning
jitter,0,0,50,20,20,0,1.0,5,4.65,0.85,166.261,97.107,363,0,0.0,0.05,warning
jitter,0,0,75,20,20,0,1.0,5,4.65,1.0,133.137,72.747,351.5,0,0.0,0,safe
loss,0,0,0,20,20,0,1.0,4.85,4.35,0.8,126.523,108.049,357.65,0,0.05,0,warning
loss,0,1,0,20,20,0,1.0,5,4.65,0.95,132.685,89.931,357.35,0,0.0,0.05,safe
loss,0,5,0,20,20,0,1.0,5,4.7,0.9,111.109,37.155,362.9,0,0.0,0,safe
loss,0,10,0,20,20,0,1.0,4.95,4.5,0.9,145.971,118.044,371.75,0,0.0,0.05,safe
loss,0,15,0,20,20,0,1.0,5,4.6,0.85,141.033,104.724,351.4,0,0.05,0,warning
loss,0,20,0,20,20,0,1.0,5,4.65,0.9,128.276,75.064,343.45,0,0.0,0,safe
loss,0,25,0,20,20,0,1.0,4.95,4.3,0.85,147.713,73.83,325.75,0,0.0,0,warning
loss,0,30,0,20,20,0,1.0,4.9,4.55,0.85,863.819,3012.568,376.15,0,0.15,0.05,warning
loss,0,40,0,20,20,0,1.0,4.95,4.7,0.95,146.489,80.243,358.8,0,0.0,0.05,safe
loss,0,50,0,20,20,0,0.95,4.85,4.65,0.9,217.88,205.752,369.5,0,0.05,0.15,safe
loss,0,75,0,20,20,0,0.8,5,4.15,0.8,590.655,342.221,497.1,0.6,0.4,0,failure
