requested_delay_ms,loss_pct,jitter_ms,n_total,n_valid,invalid_count,success_rate,quality_mean,ground_truth_mean,ground_truth_pass_rate,elapsed_mean,elapsed_sd,tokens_mean,retry_mean,timeout_rate,reviewer_rejection_mean,zone
0,0,0,84,84,0,1.0,4.988,4.595,0.893,132.873,91.007,359.012,0,0.024,0.036,warning
0,0,1,4,4,0,1.0,5,4.75,1.0,97.267,25.316,366,0,0.0,0,safe
0,0,20,4,4,0,1.0,5,5,1.0,146.345,57.437,498.75,0,0.0,0,safe
0,0,75,4,4,0,1.0,5,4.75,1.0,158.45,139.754,352,0,0.0,0,safe
0,10,20,4,4,0,1.0,5,4.75,1.0,100.183,16.379,310,0,0.0,0,safe
0,20,0,4,4,0,1.0,5,4.75,1.0,133.675,62.27,341.25,0,0.0,0,safe
0,20,20,4,4,0,1.0,5,4.25,0.75,98.1,33.501,286.75,0,0.0,0,failure
0,20,75,4,4,0,1.0,5,4.5,1.0,101.555,32.61,311.75,0,0.0,0,safe
0,25,75,4,4,0,1.0,4.75,4.5,0.75,209.955,204.156,524,0,0.0,0.25,failure
0,75,0,4,4,0,0.75,5,3.75,0.75,482.41,277.736,345.25,0.75,0.5,0,failure
0,75,5,4,4,0,0.75,5,4.75,1.0,975.983,599.881,688.75,1,0.5,0,failure
0,75,20,4,4,0,0.5,5,3,0.5,1016.457,294.824,539.25,1,0.75,0,failure
0,75,75,4,4,0,0.5,5,2.75,0.5,690.425,225.743,268,1,0.75,0,failure
50,5,25,4,4,0,1.0,5,4.75,1.0,136.74,81.966,372,0,0.0,0,safe
50,20,30,4,4,0,1.0,5,5,1.0,161.985,89.019,398,0,0.0,0,safe
50,40,75,4,4,0,1.0,5,4.5,1.0,146.333,87.275,309.75,0,0.0,0,safe
100,1,1,4,4,0,1.0,5,4.5,0.75,103.655,42.673,295.75,0,0.0,0,failure
100,15,10,4,4,0,1.0,5,4.25,0.75,104.075,50.401,277.5,0,0.0,0,failure
100,30,15,4,4,0,1.0,4.75,4.5,0.75,98.405,32.157,318.5,0,0.0,0,failure
100,75,25,4,4,0,0.75,5,3.75,0.75,677.473,109.658,378.25,0.75,0.5,0,failure
150,5,50,4,4,0,1.0,5,4.75,1.0,90.838,17.686,356,0,0.0,0,safe
150,20,75,4,4,0,1.0,5,4.5,0.75,95.795,13.489,327.5,0,0.0,0,failure
150,50,1,4,4,0,1.0,4.75,4.25,0.75,163.27,63.646,350.75,0,0.0,0,failure
200,1,10,4,4,0,1.0,5,4.5,0.75,115.198,35.78,416,0,0.0,0,failure
200,15,15,4,4,0,1.0,5,4.25,0.75,153.688,98.57,370,0,0.0,0,failure
200,30,25,4,4,0,1.0,5,4.5,0.75,124.727,9.246,372.75,0,0.0,0,failure
200,75,50,4,4,0,0.25,5,3,0.5,967.773,504.589,363.25,1.5,0.75,0,failure
250,5,75,4,4,0,1.0,5,4.75,1.0,100.685,12.17,362,0,0.0,0,safe
250,25,1,4,4,0,1.0,5,4.25,0.75,114.397,20.756,342,0,0.0,0,failure
250,50,10,4,4,0,1.0,5,4.25,0.75,110.15,2.506,355,0,0.0,0,failure
300,1,20,4,4,0,1.0,4.75,4.25,0.75,163.275,135.268,284.75,0,0.0,0,failure
300,15,25,4,4,0,1.0,5,4.75,1.0,133.54,40.063,364,0,0.0,0,safe
300,30,50,4,4,0,1.0,5,4.5,1.0,101.032,19.453,339.5,0,0.0,0,safe
350,0,0,4,4,0,1.0,4.75,4.25,0.75,117.515,27.096,354,0,0.0,0,failure
350,10,1,4,4,0,1.0,5,5,1.0,104.05,28.998,403.25,0,0.0,0,safe
350,25,10,4,4,0,0.75,4.5,5,1.0,152.877,59.53,420.5,0,0.0,0.5,failure
350,50,20,4,4,0,1.0,4.75,5,1.0,153.178,28.815,383.75,0,0.0,0,safe
400,1,25,4,4,0,1.0,5,5,1.0,102.212,32.545,373.5,0,0.0,0,safe
400,15,50,4,4,0,1.0,5,4.75,1.0,93.255,21.984,352.25,0,0.0,0,safe
400,40,0,4,4,0,1.0,5,4.75,1.0,115.942,42.749,347.75,0,0.0,0,safe
450,0,5,4,4,0,1.0,5,5,1.0,101.922,31.83,349.25,0,0.0,0,safe
450,10,10,4,4,0,1.0,5,4.75,1.0,109.84,42.587,367.5,0,0.0,0,safe
450,25,20,4,4,0,1.0,5,4.75,1.0,111.703,40.154,355.5,0,0.0,0,safe
450,50,30,4,4,0,1.0,5,4.75,1.0,135.67,32.349,402.25,0,0.0,0,safe
500,0,0,4,4,0,1.0,5,4.5,0.75,557.17,404.941,312.5,0.25,0.5,0,failure
500,0,20,4,4,0,1.0,5,5,1.0,147.898,88.765,341.75,0,0.0,0,safe
500,0,75,4,4,0,1.0,5,5,1.0,101.865,27.913,321.25,0,0.0,0,safe
500,5,1,4,4,0,1.0,5,4.75,1.0,108.97,42.637,343.5,0,0.0,0,safe
500,20,0,4,4,0,1.0,5,4,0.75,113.102,43.974,309.75,0,0.0,0,failure
500,20,15,4,4,0,1.0,5,4,0.5,133.238,82.4,300.5,0,0.0,0,failure
500,20,20,4,4,0,1.0,5,4.75,1.0,107.153,23.54,384.75,0,0.0,0,safe
500,20,75,4,4,0,1.0,5,4.5,1.0,105.213,15.806,347.75,0,0.0,0,safe
500,40,50,4,4,0,1.0,5,4.75,1.0,95.477,17.899,353.5,0,0.0,0,safe
500,75,0,4,4,0,0.5,5,3.5,0.5,1018.422,120.836,462,1.25,1.0,0,failure
500,75,20,4,4,0,0.25,5,2,0.25,1032.655,607.515,343.25,1.5,0.75,0,failure
500,75,75,4,4,0,1.0,5,4.25,0.75,866.503,509.441,571.25,0.25,0.75,0,failure
550,1,5,4,4,0,1.0,5,5,1.0,101.328,31.498,390.25,0,0.0,0,safe
550,15,15,4,4,0,1.0,5,5,1.0,107.907,37.472,346.25,0,0.0,0,safe
550,30,25,4,4,0,1.0,5,4.25,0.75,105.75,28.481,330.75,0,0.0,0,failure
550,75,30,4,4,0,0.5,5,3,0.5,862.87,185.208,342.5,1,1.0,0,failure
600,5,75,4,4,0,1.0,4.75,4.5,1.0,101.595,22.899,324.75,0,0.0,0,safe
600,25,1,4,4,0,1.0,5,4.75,1.0,174.058,135.398,319.75,0,0.0,0,safe
600,50,10,4,4,0,1.0,5,4.5,1.0,136.085,89.241,369.25,0,0.0,0,safe
650,1,15,4,4,0,1.0,5,4.75,1.0,101.888,26.785,392.75,0,0.0,0,safe
650,15,25,4,4,0,1.0,5,5,1.0,93.605,13.142,347.5,0,0.0,0,safe
650,30,50,4,4,0,1.0,5,4.5,0.75,133.032,66.655,328.5,0,0.0,0,failure
650,75,75,4,4,0,0.75,5,4.75,1.0,1198.585,453.23,654.25,0.75,0.5,0,failure
700,10,1,4,4,0,1.0,5,4.25,0.75,151.162,41.979,461.5,0,0.0,0.25,failure
700,25,10,4,4,0,1.0,5,4.75,1.0,192.33,78.077,330,0,0.0,0,safe
700,50,15,4,4,0,1.0,5,4.5,0.75,231.325,99.703,366.75,0,0.0,0,failure
750,1,25,4,4,0,1.0,5,4.5,0.75,96.763,13.549,348.25,0,0.0,0,failure
750,15,50,4,4,0,1.0,5,4.75,1.0,94.912,26.512,386,0,0.0,0,safe
750,40,0,4,4,0,1.0,5,4.5,0.75,112.273,30.849,374.25,0,0.0,0,failure
800,0,1,4,4,0,1.0,5,5,1.0,107.618,20.99,426.5,0,0.0,0,safe
800,10,10,4,4,0,1.0,4.75,5,1.0,162.635,73.6,574,0,0.0,0.25,safe
800,25,20,4,4,0,1.0,5,4.75,1.0,126.458,36.405,303,0,0.0,0,safe
800,50,25,4,4,0,1.0,5,4.25,0.75,197.822,91.793,342.5,0,0.0,0,failure
850,1,50,4,4,0,1.0,5,4,0.5,108.013,36.576,329.5,0,0.0,0,failure
850,20,0,4,4,0,1.0,5,4.5,1.0,172.17,92.434,371.5,0,0.0,0,safe
850,40,1,4,4,0,1.0,5,4.25,0.75,125.933,28.801,358.5,0,0.0,0,failure
900,0,10,4,4,0,1.0,5,4.25,0.75,97.7,21.85,355.5,0,0.0,0,failure
900,10,20,4,4,0,1.0,5,4.75,1.0,191.678,194.026,380.75,0,0.25,0,failure
900,25,25,4,4,0,1.0,5,4.5,1.0,147.178,68.539,367.5,0,0.0,0,safe
900,50,50,4,4,0,1.0,5,4.5,0.75,142.528,21.405,317.25,0,0.0,0,failure
950,5,0,4,4,0,1.0,4.75,4.5,0.75,199.805,77.42,294.5,0,0.0,0,failure
950,20,5,4,4,0,1.0,5,4.75,1.0,362.89,163.605,439.75,0,0.25,0.25,failure
950,40,10,4,4,0,1.0,5,4.75,1.0,131.377,29.474,335.25,0,0.0,0,safe
1000,0,0,4,4,0,1.0,5,4.5,1.0,187.593,158.232,383,0,0.0,0,safe
1000,0,20,4,4,0,1.0,5,4.75,1.0,96.672,21.541,364.5,0,0.0,0,safe
1000,0,30,4,4,0,1.0,5,4.5,0.75,150.63,52.062,448,0,0.0,0.25,failure
1000,0,75,4,4,0,1.0,5,4.5,0.75,111.24,31.583,348.25,0,0.0,0,failure
1000,15,0,4,4,0,1.0,5,4.75,1.0,135.523,27.25,350.75,0,0.0,0,safe
1000,20,0,4,4,0,1.0,4.75,4.5,0.75,106.222,23.254,313.75,0,0.0,0,failure
1000,20,20,4,4,0,1.0,5,4.25,0.75,117.588,39.606,348,0,0.0,0,failure
1000,20,75,4,4,0,1.0,5,5,1.0,138.572,86.149,287,0,0.0,0,safe
1000,30,15,4,4,0,1.0,5,5,1.0,155.42,81.006,367.75,0,0.0,0,safe
1000,75,0,4,4,0,0.75,5,4,0.75,830.082,407.456,369.5,0.75,0.5,0,failure
1000,75,20,4,4,0,0.5,4.5,3,0.5,692.192,58.473,318.25,1.25,1.0,0,failure
1000,75,50,4,4,0,0.75,5,3.5,0.5,566.67,386.768,434.25,0.75,0.25,0,failure
1000,75,75,4,4,0,0.75,5,4,0.75,568.242,255.106,376.25,0.5,0.75,0,failure
